county,precinct,office,district,seats,party,candidate,votes
Martin,Perry 3,U.S. House,8,1,LBT,K Richard FITZLAFF,9
Martin,Perry 3,U.S. House,8,1,REP,Mark MESSMER,177
Martin,Perry 3,Governor,,1,,Write-In,0
Martin,Perry 3,Governor,,1,LBT,Donald RAINWATER / Tonya  HUDSON,28
Martin,Perry 3,Governor,,1,DEM,Jennifer G. McCORMICK / Terry  GOODIN,56
Martin,Perry 3,Governor,,1,REP,Mike BRAUN / Micah  BECKWITH,140
Martin,Perry 3,Attorney General,,1,DEM,Destiny WELLS,42
Martin,Perry 3,Attorney General,,1,REP,Todd ROKITA,183
Martin,Perry 3,County Auditor,,1,DEM,Michelle NORRIS,146
Martin,Perry 3,County Commissioner,1,1,REP,Retha WARNER,194
Martin,Perry 3,County Commissioner,3,1,REP,Aaron Moose SUMMERS,126
Martin,Perry 3,County Commissioner,3,1,IND,Jason B McCOY,88
Martin,Perry 3,County Coroner,,1,REP,Tony ABEL,196
Martin,Perry 3,County Recorder,,1,REP,Sheri CRANDALL,198
Martin,Perry 3,County Surveyor,,1,REP,Nathan Dale HOFFMAN,194
Martin,Perry 3,County Treasurer,,1,REP,Rhonda SANDERS,194
Martin,Perry 3,County Council,At Large,3,REP,Gerald D MONTGOMERY,87
Martin,Perry 3,County Council,At Large,3,REP,Jim WOODY,101
Martin,Perry 3,County Council,At Large,3,REP,Warren D ALBRIGHT,102
Martin,Perry 4,President,,1,,Write-In,0
Martin,Perry 4,President,,1,LBT,Chase OLIVER / Mike Ter MAAT,3
Martin,Perry 4,President,,1,REP,Donald J. TRUMP / JD Vance,220
Martin,Perry 4,President,,1,DEM,Kamala D. HARRIS / Tim Walz,74
Martin,Perry 4,President,,1,WTP,Robert F. KENNEDY JR. / Nicole SHANAHAN,2
Martin,Perry 4,U.S. Senate,,1,LBT,Andrew HORNING,15
Martin,Perry 4,U.S. Senate,,1,,Write-In,0
Martin,Perry 4,U.S. Senate,,1,REP,Jim BANKS,205
Martin,Perry 4,U.S. Senate,,1,DEM,Valerie McCRAY,76
Martin,Perry 4,U.S. House,8,1,DEM,Erik HURT,81
Martin,Perry 4,U.S. House,8,1,LBT,K Richard FITZLAFF,17
Martin,Perry 4,U.S. House,8,1,REP,Mark MESSMER,200
Martin,Perry 4,Governor,,1,,Write-In,0
Martin,Perry 4,Governor,,1,LBT,Donald RAINWATER / Tonya  HUDSON,48
Martin,Perry 4,Governor,,1,DEM,Jennifer G. McCORMICK / Terry  GOODIN,97
