candidate,office,district,party,county,precinct,election_day,absentee,provisional,votes,
John C. Aguilera,Treasurer of State,,D,Adams,19-Preble,48,51,0,99,
Jim Banks,U S House,3,R,Adams,19-Preble,212,166,0,378,
Courtney Tritch,U S House,3,D,Adams,19-Preble,53,56,0,109,
Write in,U S House,3,,Adams,19-Preble,0,0,0,0,
Travis Holdman,State Senate,19,R,Adams,19-Preble,228,189,0,417,
Matthew S Lehman,State Representative ,79,R,Adams,19-Preble,234,188,0,422,
,Registered Voters,,,Adams,20-South Monroe,,,,538,
,Ballots Cast,,,Adams,20-South Monroe,,,,271,
Mike Braun,U.S. Senate,,R,Adams,20-South Monroe,235,79,0,314,
Joe Donnelly,U.S. Senate,,D,Adams,20-South Monroe,28,10,0,38,
Lucy M Brenton,U.S. Senate,,L,Adams,20-South Monroe,4,1,0,5,
Write in,U.S. Senate,,,Adams,20-South Monroe,0,0,0,0,
Connie Lawson,Secretary of State,,R,Adams,20-South Monroe,239,77,0,316,
Jim Harper,Secretary of State,,D,Adams,20-South Monroe,20,9,0,29,
Mark W. Rutherford,Secretary of State,,L,Adams,20-South Monroe,2,1,0,3,
Write in,Secretary of State,,,Adams,20-South Monroe,0,0,0,0,
Tera Klutz,Auditor of State,,R,Adams,20-South Monroe,235,77,0,312,
Joselyn Whitticker,Auditor of State,,D,Adams,20-South Monroe,19,10,0,29,
John Schick,Auditor of State,,L,Adams,20-South Monroe,6,1,0,7,
Kelly Mitchell,Treasurer of State,,R,Adams,20-South Monroe,238,79,0,317,
John C. Aguilera,Treasurer of State,,D,Adams,20-South Monroe,17,8,0,25,
Jim Banks,U S House,3,R,Adams,20-South Monroe,241,81,0,322,
Courtney Tritch,U S House,3,D,Adams,20-South Monroe,23,10,0,33,
Write in,U S House,3,,Adams,20-South Monroe,0,0,0,0,
Travis Holdman,State Senate,19,R,Adams,20-South Monroe,249,83,0,332,
Matthew S Lehman,State Representative ,79,R,Adams,20-South Monroe,244,86,0,330,
,Registered Voters,,,Adams,21-South Washington,,,,753,
,Ballots Cast,,,Adams,21-South Washington,,,,300,
Mike Braun,U.S. Senate,,R,Adams,21-South Washington,209,117,0,326,
Joe Donnelly,U.S. Senate,,D,Adams,21-South Washington,78,56,0,134,
Lucy M Brenton,U.S. Senate,,L,Adams,21-South Washington,10,5,0,15,
Write in,U.S. Senate,,,Adams,21-South Washington,0,0,0,0,
Connie Lawson,Secretary of State,,R,Adams,21-South Washington,228,123,0,351,
Jim Harper,Secretary of State,,D,Adams,21-South Washington,55,49,0,104,
Mark W. Rutherford,Secretary of State,,L,Adams,21-South Washington,11,3,0,14,
Write in,Secretary of State,,,Adams,21-South Washington,0,0,0,0,
Tera Klutz,Auditor of State,,R,Adams,21-South Washington,213,122,0,335,
Joselyn Whitticker,Auditor of State,,D,Adams,21-South Washington,67,46,0,113,
John Schick,Auditor of State,,L,Adams,21-South Washington,8,5,0,13,
Kelly Mitchell,Treasurer of State,,R,Adams,21-South Washington,228,127,0,355,
John C. Aguilera,Treasurer of State,,D,Adams,21-South Washington,61,44,0,105,
Jim Banks,U S House,3,R,Adams,21-South Washington,229,131,0,360,
Courtney Tritch,U S House,3,D,Adams,21-South Washington,68,48,0,116,
Write in,U S House,3,,Adams,21-South Washington,0,0,0,0,
Travis Holdman,State Senate,19,R,Adams,21-South Washington,253,139,0,392,
Matthew S Lehman,State Representative ,79,R,Adams,21-South Washington,250,143,0,393,
,Registered Voters,,,Adams,22-St Marys,,,,751,
,Ballots Cast,,,Adams,22-St Marys,,,,269,
Mike Braun,U.S. Senate,,R,Adams,22-St Marys,195,115,0,310,
Joe Donnelly,U.S. Senate,,D,Adams,22-St Marys,57,65,0,122,
Lucy M Brenton,U.S. Senate,,L,Adams,22-St Marys,11,5,0,16,
Write in,U.S. Senate,,,Adams,22-St Marys,0,0,0,0,
Connie Lawson,Secretary of State,,R,Adams,22-St Marys,200,127,0,327,
Jim Harper,Secretary of State,,D,Adams,22-St Marys,52,55,0,107,
Mark W. Rutherford,Secretary of State,,L,Adams,22-St Marys,5,3,0,8,
Write in,Secretary of State,,,Adams,22-St Marys,0,0,0,0,
Tera Klutz,Auditor of State,,R,Adams,22-St Marys,197,116,0,313,
Joselyn Whitticker,Auditor of State,,D,Adams,22-St Marys,47,62,0,109,
John Schick,Auditor of State,,L,Adams,22-St Marys,12,5,0,17,
Kelly Mitchell,Treasurer of State,,R,Adams,22-St Marys,208,125,0,333,
John C. Aguilera,Treasurer of State,,D,Adams,22-St Marys,44,55,0,99,
Jim Banks,U S House,3,R,Adams,22-St Marys,212,131,0,343,
Courtney Tritch,U S House,3,D,Adams,22-St Marys,54,55,0,109,
Write in,U S House,3,,Adams,22-St Marys,0,0,0,0,
Travis Holdman,State Senate,19,R,Adams,22-St Marys,223,140,0,363,
Matthew S Lehman,State Representative ,79,R,Adams,22-St Marys,230,142,0,372,
,Registered Voters,,,Adams,23-Union,,,,651,
,Ballots Cast,,,Adams,23-Union,,,,215,
Mike Braun,U.S. Senate,,R,Adams,23-Union,151,114,0,265,
Joe Donnelly,U.S. Senate,,D,Adams,23-Union,49,61,0,110,
Lucy M Brenton,U.S. Senate,,L,Adams,23-Union,15,9,0,24,
Write in,U.S. Senate,,,Adams,23-Union,0,0,0,0,
Connie Lawson,Secretary of State,,R,Adams,23-Union,168,125,0,293,
Jim Harper,Secretary of State,,D,Adams,23-Union,37,52,0,89,
Mark W. Rutherford,Secretary of State,,L,Adams,23-Union,7,5,0,12,
Write in,Secretary of State,,,Adams,23-Union,0,0,0,0,
Tera Klutz,Auditor of State,,R,Adams,23-Union,158,124,0,282,
Joselyn Whitticker,Auditor of State,,D,Adams,23-Union,44,50,0,94,
John Schick,Auditor of State,,L,Adams,23-Union,7,5,0,12,
Kelly Mitchell,Treasurer of State,,R,Adams,23-Union,170,132,0,302,
John C. Aguilera,Treasurer of State,,D,Adams,23-Union,39,48,0,87,
Jim Banks,U S House,3,R,Adams,23-Union,171,129,0,300,
Courtney Tritch,U S House,3,D,Adams,23-Union,44,58,0,102,
Write in,U S House,3,,Adams,23-Union,0,0,0,0,
Travis Holdman,State Senate,19,R,Adams,23-Union,189,160,0,349,
Matthew S Lehman,State Representative ,79,R,Adams,23-Union,191,158,0,349,
,Registered Voters,,,Adams,24-Wabash,,,,427,
,Ballots Cast,,,Adams,24-Wabash,,,,194,
Mike Braun,U.S. Senate,,R,Adams,24-Wabash,152,58,0,210,
Joe Donnelly,U.S. Senate,,D,Adams,24-Wabash,36,17,0,53,
Lucy M Brenton,U.S. Senate,,L,Adams,24-Wabash,2,2,0,4,
Write in,U.S. Senate,,,Adams,24-Wabash,0,0,0,0,
Connie Lawson,Secretary of State,,R,Adams,24-Wabash,158,57,0,215,
Jim Harper,Secretary of State,,D,Adams,24-Wabash,28,16,0,44,
Mark W. Rutherford,Secretary of State,,L,Adams,24-Wabash,0,1,0,1,
Write in,Secretary of State,,,Adams,24-Wabash,0,0,0,0,
Tera Klutz,Auditor of State,,R,Adams,24-Wabash,152,55,0,207,
Joselyn Whitticker,Auditor of State,,D,Adams,24-Wabash,29,17,0,46,
John Schick,Auditor of State,,L,Adams,24-Wabash,0,1,0,1,
Kelly Mitchell,Treasurer of State,,R,Adams,24-Wabash,155,56,0,211,
John C. Aguilera,Treasurer of State,,D,Adams,24-Wabash,29,17,0,46,
Jim Banks,U S House,3,R,Adams,24-Wabash,154,56,0,210,
Courtney Tritch,U S House,3,D,Adams,24-Wabash,35,17,0,52,
Write in,U S House,3,,Adams,24-Wabash,0,0,0,0,
Travis Holdman,State Senate,19,R,Adams,24-Wabash,175,59,0,234,
Matthew S Lehman,State Representative ,79,R,Adams,24-Wabash,177,60,0,237,
,Registered Voters,,,Adams,25-West Root,,,,778,
,Ballots Cast,,,Adams,25-West Root,,,,241,
Mike Braun,U.S. Senate,,R,Adams,25-West Root,178,192,0,370,
Joe Donnelly,U.S. Senate,,D,Adams,25-West Root,52,68,1,121,
Lucy M Brenton,U.S. Senate,,L,Adams,25-West Root,11,18,0,29,
Write in,U.S. Senate,,,Adams,25-West Root,0,0,0,0,
Connie Lawson,Secretary of State,,R,Adams,25-West Root,189,203,0,392,
Jim Harper,Secretary of State,,D,Adams,25-West Root,40,61,1,102,
Mark W. Rutherford,Secretary of State,,L,Adams,25-West Root,8,10,0,18,
Write in,Secretary of State,,,Adams,25-West Root,0,0,0,0,
Tera Klutz,Auditor of State,,R,Adams,25-West Root,181,199,0,380,
Joselyn Whitticker,Auditor of State,,D,Adams,25-West Root,48,53,1,102,
John Schick,Auditor of State,,L,Adams,25-West Root,6,18,0,24,
Kelly Mitchell,Treasurer of State,,R,Adams,25-West Root,190,214,0,404,
John C. Aguilera,Treasurer of State,,D,Adams,25-West Root,42,55,1,98,
Jim Banks,U S House,3,R,Adams,25-West Root,192,209,0,401,
Courtney Tritch,U S House,3,D,Adams,25-West Root,48,68,1,117,
Write in,U S House,3,,Adams,25-West Root,0,0,0,0,
Travis Holdman,State Senate,19,R,Adams,25-West Root,217,232,0,449,
Matthew S Lehman,State Representative ,79,R,Adams,25-West Root,219,230,0,449,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
