candidate,office,district,party,county,precinct,election_day,absentee,early_voting,provisional,total votes
Jim Harper,Secretary of State,,D,Floyd,GREENVILLE 5,6,20,0,0,26
Mark W. Rutherford,Secretary of State,,L,Floyd,GREENVILLE 5,170,114,8,0,292
Write In ,Secretary of State,,,Floyd,GREENVILLE 5,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,GREENVILLE 5,220,5,167,0,392
Joselyn Whitticker,Auditor of State,,D,Floyd,GREENVILLE 5,77,20,113,0,210
John Schick,Auditor of State,,L,Floyd,GREENVILLE 5,10,1,10,0,21
Kelly Mitchell,Treasurer of State,,R,Floyd,GREENVILLE 5,232,7,174,0,413
John C. Aguilera,Treasurer of State,,D,Floyd,GREENVILLE 5,78,19,117,0,214
Trey Hollingsworth,U S House,9,R,Floyd,GREENVILLE 5,221,4,176,0,401
Liz Watson,U S House,9,D,Floyd,GREENVILLE 5,94,22,121,0,237
Write In ,U S House,9,,Floyd,GREENVILLE 5,1,0,0,0,1
Ron Grooms,State Senate,46,R,Floyd,GREENVILLE 5,229,7,181,0,417
Anna Murray,State Senate,46,D,Floyd,GREENVILLE 5,87,19,115,0,221
Karen Engleman,State Representative ,70,R,Floyd,GREENVILLE 5,223,3,165,0,391
Sarah Stivers,State Representative ,70,D,Floyd,GREENVILLE 5,89,22,126,0,237
Edward D (ED) Clere,State Representative ,72,R,Floyd,GREENVILLE 5,,,,,0
Sam Charbonne Au,State Representative ,72,D,Floyd,GREENVILLE 5,,,,,0
,Registered Voters,,,Floyd,GREENVILLE 6,,,,,1892
,Ballots Cast,,,Floyd,GREENVILLE 6,138,13,138,,289
,Straight Party,,R,Floyd,GREENVILLE 6,44,3,52,0,99
,Straight Party,,D,Floyd,GREENVILLE 6,18,6,12,0,36
,Straight Party,,L,Floyd,GREENVILLE 6,2,0,0,0,2
Mike Braun,U.S. Senate,,R,Floyd,GREENVILLE 6,82,45,10,0,137
Joe Donnelly,U.S. Senate,,D,Floyd,GREENVILLE 6,3,10,0,0,13
Lucy M Brenton,U.S. Senate,,L,Floyd,GREENVILLE 6,99,35,2,0,136
Write In ,U.S. Senate,,,Floyd,GREENVILLE 6,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,GREENVILLE 6,87,42,6,0,135
Jim Harper,Secretary of State,,D,Floyd,GREENVILLE 6,3,9,1,0,13
Mark W. Rutherford,Secretary of State,,L,Floyd,GREENVILLE 6,103,34,0,1,138
Write In ,Secretary of State,,,Floyd,GREENVILLE 6,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,GREENVILLE 6,87,3,102,0,192
Joselyn Whitticker,Auditor of State,,D,Floyd,GREENVILLE 6,38,10,36,0,84
John Schick,Auditor of State,,L,Floyd,GREENVILLE 6,9,0,0,0,9
Kelly Mitchell,Treasurer of State,,R,Floyd,GREENVILLE 6,95,3,102,0,200
John C. Aguilera,Treasurer of State,,D,Floyd,GREENVILLE 6,39,10,36,0,85
Trey Hollingsworth,U S House,9,R,Floyd,GREENVILLE 6,87,4,101,0,192
Liz Watson,U S House,9,D,Floyd,GREENVILLE 6,50,9,37,0,96
Write In ,U S House,9,,Floyd,GREENVILLE 6,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,GREENVILLE 6,93,4,106,0,203
Anna Murray,State Senate,46,D,Floyd,GREENVILLE 6,43,9,32,0,84
Karen Engleman,State Representative ,70,R,Floyd,GREENVILLE 6,88,3,102,0,193
Sarah Stivers,State Representative ,70,D,Floyd,GREENVILLE 6,47,10,36,0,93
Edward D (ED) Clere,State Representative ,72,R,Floyd,GREENVILLE 6,,,,,0
Sam Charbonne Au,State Representative ,72,D,Floyd,GREENVILLE 6,,,,,0
,Registered Voters,,,Floyd,LAFAYETTE 1,,,,,5700
,Ballots Cast,,,Floyd,LAFAYETTE 1,377,84,388,,849
,Straight Party,,R,Floyd,LAFAYETTE 1,107,16,106,0,229
,Straight Party,,D,Floyd,LAFAYETTE 1,50,34,58,0,142
,Straight Party,,L,Floyd,LAFAYETTE 1,2,0,0,0,2
Mike Braun,U.S. Senate,,R,Floyd,LAFAYETTE 1,241,124,10,0,375
Joe Donnelly,U.S. Senate,,D,Floyd,LAFAYETTE 1,30,49,0,0,79
Lucy M Brenton,U.S. Senate,,L,Floyd,LAFAYETTE 1,231,142,7,0,380
Write In ,U.S. Senate,,,Floyd,LAFAYETTE 1,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,LAFAYETTE 1,253,104,8,0,365
Jim Harper,Secretary of State,,D,Floyd,LAFAYETTE 1,31,45,4,0,80
Mark W. Rutherford,Secretary of State,,L,Floyd,LAFAYETTE 1,234,135,1,0,370
Write In ,Secretary of State,,,Floyd,LAFAYETTE 1,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,LAFAYETTE 1,248,29,234,0,511
Joselyn Whitticker,Auditor of State,,D,Floyd,LAFAYETTE 1,102,46,134,0,282
John Schick,Auditor of State,,L,Floyd,LAFAYETTE 1,10,2,3,0,15
Kelly Mitchell,Treasurer of State,,R,Floyd,LAFAYETTE 1,255,32,241,0,528
John C. Aguilera,Treasurer of State,,D,Floyd,LAFAYETTE 1,103,46,127,0,276
Trey Hollingsworth,U S House,9,R,Floyd,LAFAYETTE 1,244,30,242,0,516
Liz Watson,U S House,9,D,Floyd,LAFAYETTE 1,128,50,141,0,319
Write In ,U S House,9,,Floyd,LAFAYETTE 1,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,LAFAYETTE 1,257,32,247,0,536
Anna Murray,State Senate,46,D,Floyd,LAFAYETTE 1,112,47,133,0,292
Karen Engleman,State Representative ,70,R,Floyd,LAFAYETTE 1,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,LAFAYETTE 1,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,LAFAYETTE 1,252,33,239,0,524
Sam Charbonne Au,State Representative ,72,D,Floyd,LAFAYETTE 1,119,46,144,0,309
,Registered Voters,,,Floyd,LAFAYETTE 2,,,,,2912
,Ballots Cast,,,Floyd,LAFAYETTE 2,221,41,212,,474
,Straight Party,,R,Floyd,LAFAYETTE 2,66,8,65,0,139
,Straight Party,,D,Floyd,LAFAYETTE 2,29,17,32,0,78
,Straight Party,,L,Floyd,LAFAYETTE 2,0,0,2,0,2
Mike Braun,U.S. Senate,,R,Floyd,LAFAYETTE 2,134,74,10,0,218
Joe Donnelly,U.S. Senate,,D,Floyd,LAFAYETTE 2,18,22,0,0,40
Lucy M Brenton,U.S. Senate,,L,Floyd,LAFAYETTE 2,124,77,7,0,208
Write In ,U.S. Senate,,,Floyd,LAFAYETTE 2,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,LAFAYETTE 2,138,63,10,0,211
Jim Harper,Secretary of State,,D,Floyd,LAFAYETTE 2,18,22,0,0,40
Mark W. Rutherford,Secretary of State,,L,Floyd,LAFAYETTE 2,134,68,6,0,208
Write In ,Secretary of State,,,Floyd,LAFAYETTE 2,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,LAFAYETTE 2,138,18,127,0,283
Joselyn Whitticker,Auditor of State,,D,Floyd,LAFAYETTE 2,64,21,75,0,160
John Schick,Auditor of State,,L,Floyd,LAFAYETTE 2,8,1,4,0,13
Kelly Mitchell,Treasurer of State,,R,Floyd,LAFAYETTE 2,143,18,135,0,296
John C. Aguilera,Treasurer of State,,D,Floyd,LAFAYETTE 2,70,22,70,0,162
Trey Hollingsworth,U S House,9,R,Floyd,LAFAYETTE 2,138,18,127,0,283
Liz Watson,U S House,9,D,Floyd,LAFAYETTE 2,78,22,83,0,183
Write In ,U S House,9,,Floyd,LAFAYETTE 2,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,LAFAYETTE 2,141,20,134,0,295
Anna Murray,State Senate,46,D,Floyd,LAFAYETTE 2,77,19,77,0,173
Karen Engleman,State Representative ,70,R,Floyd,LAFAYETTE 2,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,LAFAYETTE 2,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,LAFAYETTE 2,148,18,137,0,303
Sam Charbonne Au,State Representative ,72,D,Floyd,LAFAYETTE 2,71,22,74,0,167
,Registered Voters,,,Floyd,LAFAYETTE 3,,,,,2620
,Ballots Cast,,,Floyd,LAFAYETTE 3,239,36,165,,440
,Straight Party,,R,Floyd,LAFAYETTE 3,83,10,39,0,132
,Straight Party,,D,Floyd,LAFAYETTE 3,28,13,30,0,71
,Straight Party,,L,Floyd,LAFAYETTE 3,3,0,1,0,4
Mike Braun,U.S. Senate,,R,Floyd,LAFAYETTE 3,155,77,6,0,238
Joe Donnelly,U.S. Senate,,D,Floyd,LAFAYETTE 3,14,19,3,0,36
Lucy M Brenton,U.S. Senate,,L,Floyd,LAFAYETTE 3,88,70,6,0,164
Write In ,U.S. Senate,,,Floyd,LAFAYETTE 3,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,LAFAYETTE 3,159,68,8,0,235
Jim Harper,Secretary of State,,D,Floyd,LAFAYETTE 3,14,21,0,0,35
Mark W. Rutherford,Secretary of State,,L,Floyd,LAFAYETTE 3,95,59,6,0,160
Write In ,Secretary of State,,,Floyd,LAFAYETTE 3,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,LAFAYETTE 3,163,17,94,0,274
Joselyn Whitticker,Auditor of State,,D,Floyd,LAFAYETTE 3,62,17,64,0,143
John Schick,Auditor of State,,L,Floyd,LAFAYETTE 3,6,0,1,0,7
Kelly Mitchell,Treasurer of State,,R,Floyd,LAFAYETTE 3,167,15,95,0,277
John C. Aguilera,Treasurer of State,,D,Floyd,LAFAYETTE 3,63,19,65,0,147
Trey Hollingsworth,U S House,9,R,Floyd,LAFAYETTE 3,159,14,91,0,264
Liz Watson,U S House,9,D,Floyd,LAFAYETTE 3,75,22,71,0,168
Write In ,U S House,9,,Floyd,LAFAYETTE 3,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,LAFAYETTE 3,168,18,100,0,286
Anna Murray,State Senate,46,D,Floyd,LAFAYETTE 3,67,18,63,0,148
Karen Engleman,State Representative ,70,R,Floyd,LAFAYETTE 3,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,LAFAYETTE 3,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,LAFAYETTE 3,161,14,106,0,281
Sam Charbonne Au,State Representative ,72,D,Floyd,LAFAYETTE 3,75,22,58,0,155
,Registered Voters,,,Floyd,LAFAYETTE 4,,,,,3796
,Ballots Cast,,,Floyd,LAFAYETTE 4,367,47,214,,628
,Straight Party,,R,Floyd,LAFAYETTE 4,111,10,66,0,187
,Straight Party,,D,Floyd,LAFAYETTE 4,77,16,40,0,133
,Straight Party,,L,Floyd,LAFAYETTE 4,2,0,0,0,2
Mike Braun,U.S. Senate,,R,Floyd,LAFAYETTE 4,210,136,17,0,363
Joe Donnelly,U.S. Senate,,D,Floyd,LAFAYETTE 4,9,25,3,0,37
Lucy M Brenton,U.S. Senate,,L,Floyd,LAFAYETTE 4,128,81,4,0,213
Write In ,U.S. Senate,,,Floyd,LAFAYETTE 4,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,LAFAYETTE 4,220,124,16,0,360
Jim Harper,Secretary of State,,D,Floyd,LAFAYETTE 4,19,23,3,0,45
Mark W. Rutherford,Secretary of State,,L,Floyd,LAFAYETTE 4,128,75,3,0,206
Write In ,Secretary of State,,,Floyd,LAFAYETTE 4,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,LAFAYETTE 4,221,22,127,0,370
Joselyn Whitticker,Auditor of State,,D,Floyd,LAFAYETTE 4,122,22,70,0,214
John Schick,Auditor of State,,L,Floyd,LAFAYETTE 4,12,1,7,0,20
Kelly Mitchell,Treasurer of State,,R,Floyd,LAFAYETTE 4,230,21,132,0,383
John C. Aguilera,Treasurer of State,,D,Floyd,LAFAYETTE 4,126,24,71,0,221
Trey Hollingsworth,U S House,9,R,Floyd,LAFAYETTE 4,218,20,129,0,367
Liz Watson,U S House,9,D,Floyd,LAFAYETTE 4,143,26,83,0,252
Write In ,U S House,9,,Floyd,LAFAYETTE 4,1,0,0,0,1
Ron Grooms,State Senate,46,R,Floyd,LAFAYETTE 4,233,23,136,0,392
Anna Murray,State Senate,46,D,Floyd,LAFAYETTE 4,127,23,75,0,225
Karen Engleman,State Representative ,70,R,Floyd,LAFAYETTE 4,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,LAFAYETTE 4,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,LAFAYETTE 4,227,22,131,0,380
Sam Charbonne Au,State Representative ,72,D,Floyd,LAFAYETTE 4,135,24,81,0,240
,Registered Voters,,,Floyd,LAFAYETTE 5,,,,,5348
,Ballots Cast,,,Floyd,LAFAYETTE 5,505,37,339,,881
,Straight Party,,R,Floyd,LAFAYETTE 5,170,2,98,0,270
,Straight Party,,D,Floyd,LAFAYETTE 5,97,12,61,0,170
,Straight Party,,L,Floyd,LAFAYETTE 5,0,0,0,0,0
Mike Braun,U.S. Senate,,R,Floyd,LAFAYETTE 5,289,195,17,0,501
Joe Donnelly,U.S. Senate,,D,Floyd,LAFAYETTE 5,7,25,3,0,35
Lucy M Brenton,U.S. Senate,,L,Floyd,LAFAYETTE 5,193,139,4,0,336
Write In ,U.S. Senate,,,Floyd,LAFAYETTE 5,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,LAFAYETTE 5,309,170,16,0,495
Jim Harper,Secretary of State,,D,Floyd,LAFAYETTE 5,9,24,2,0,35
Mark W. Rutherford,Secretary of State,,L,Floyd,LAFAYETTE 5,198,130,6,1,335
Write In ,Secretary of State,,,Floyd,LAFAYETTE 5,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,LAFAYETTE 5,307,9,197,0,513
Joselyn Whitticker,Auditor of State,,D,Floyd,LAFAYETTE 5,167,24,129,0,320
John Schick,Auditor of State,,L,Floyd,LAFAYETTE 5,20,2,4,0,26
Kelly Mitchell,Treasurer of State,,R,Floyd,LAFAYETTE 5,314,9,202,0,525
John C. Aguilera,Treasurer of State,,D,Floyd,LAFAYETTE 5,172,26,127,0,325
Trey Hollingsworth,U S House,9,R,Floyd,LAFAYETTE 5,309,8,203,0,520
Liz Watson,U S House,9,D,Floyd,LAFAYETTE 5,194,27,134,0,355
Write In ,U S House,9,,Floyd,LAFAYETTE 5,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,LAFAYETTE 5,320,8,208,0,536
Anna Murray,State Senate,46,D,Floyd,LAFAYETTE 5,179,27,128,0,334
Karen Engleman,State Representative ,70,R,Floyd,LAFAYETTE 5,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,LAFAYETTE 5,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,LAFAYETTE 5,307,9,194,0,510
Sam Charbonne Au,State Representative ,72,D,Floyd,LAFAYETTE 5,193,26,139,0,358
,Registered Voters,,,Floyd,LAFAYETTE 6,,,,,3136
,Ballots Cast,,,Floyd,LAFAYETTE 6,320,25,171,,516
,Straight Party,,R,Floyd,LAFAYETTE 6,99,3,42,0,144
,Straight Party,,D,Floyd,LAFAYETTE 6,50,8,27,0,85
,Straight Party,,L,Floyd,LAFAYETTE 6,4,0,0,0,4
Mike Braun,U.S. Senate,,R,Floyd,LAFAYETTE 6,190,118,10,0,318
Joe Donnelly,U.S. Senate,,D,Floyd,LAFAYETTE 6,9,15,1,0,25
Lucy M Brenton,U.S. Senate,,L,Floyd,LAFAYETTE 6,81,87,3,0,171
Write In ,U.S. Senate,,,Floyd,LAFAYETTE 6,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,LAFAYETTE 6,193,102,12,0,307
Jim Harper,Secretary of State,,D,Floyd,LAFAYETTE 6,8,15,2,0,25
Mark W. Rutherford,Secretary of State,,L,Floyd,LAFAYETTE 6,85,77,5,0,167
Write In ,Secretary of State,,,Floyd,LAFAYETTE 6,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,LAFAYETTE 6,195,7,82,0,284
Joselyn Whitticker,Auditor of State,,D,Floyd,LAFAYETTE 6,100,17,79,0,196
John Schick,Auditor of State,,L,Floyd,LAFAYETTE 6,12,1,5,0,18
Kelly Mitchell,Treasurer of State,,R,Floyd,LAFAYETTE 6,207,7,88,0,302
John C. Aguilera,Treasurer of State,,D,Floyd,LAFAYETTE 6,99,16,79,0,194
Trey Hollingsworth,U S House,9,R,Floyd,LAFAYETTE 6,198,11,85,0,294
Liz Watson,U S House,9,D,Floyd,LAFAYETTE 6,116,14,84,0,214
Write In ,U S House,9,,Floyd,LAFAYETTE 6,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,LAFAYETTE 6,208,13,94,0,315
Anna Murray,State Senate,46,D,Floyd,LAFAYETTE 6,111,12,76,0,199
Karen Engleman,State Representative ,70,R,Floyd,LAFAYETTE 6,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,LAFAYETTE 6,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,LAFAYETTE 6,203,9,88,0,300
Sam Charbonne Au,State Representative ,72,D,Floyd,LAFAYETTE 6,112,15,83,0,210
,Registered Voters,,,Floyd,LAFAYETTE 7,,,,,2960
,Ballots Cast,,,Floyd,LAFAYETTE 7,319,39,203,1,562
,Straight Party,,R,Floyd,LAFAYETTE 7,77,7,58,1,143
,Straight Party,,D,Floyd,LAFAYETTE 7,30,11,31,0,72
,Straight Party,,L,Floyd,LAFAYETTE 7,2,0,0,0,2
Mike Braun,U.S. Senate,,R,Floyd,LAFAYETTE 7,149,55,7,0,211
Joe Donnelly,U.S. Senate,,D,Floyd,LAFAYETTE 7,12,25,2,0,39
Lucy M Brenton,U.S. Senate,,L,Floyd,LAFAYETTE 7,112,82,4,0,198
Write In ,U.S. Senate,,,Floyd,LAFAYETTE 7,1,0,0,0,1
Connie Lawson,Secretary of State,,R,Floyd,LAFAYETTE 7,156,50,3,0,209
Jim Harper,Secretary of State,,D,Floyd,LAFAYETTE 7,14,24,1,0,39
Mark W. Rutherford,Secretary of State,,L,Floyd,LAFAYETTE 7,114,74,4,0,192
Write In ,Secretary of State,,,Floyd,LAFAYETTE 7,1,0,0,0,1
Tera Klutz,Auditor of State,,R,Floyd,LAFAYETTE 7,148,12,110,1,271
Joselyn Whitticker,Auditor of State,,D,Floyd,LAFAYETTE 7,52,24,77,0,153
John Schick,Auditor of State,,L,Floyd,LAFAYETTE 7,5,1,2,0,8
Kelly Mitchell,Treasurer of State,,R,Floyd,LAFAYETTE 7,154,14,114,1,283
John C. Aguilera,Treasurer of State,,D,Floyd,LAFAYETTE 7,52,21,75,0,148
Trey Hollingsworth,U S House,9,R,Floyd,LAFAYETTE 7,151,15,116,1,283
Liz Watson,U S House,9,D,Floyd,LAFAYETTE 7,59,24,81,0,164
Write In ,U S House,9,,Floyd,LAFAYETTE 7,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,LAFAYETTE 7,155,19,123,1,298
Anna Murray,State Senate,46,D,Floyd,LAFAYETTE 7,55,18,75,0,148
Karen Engleman,State Representative ,70,R,Floyd,LAFAYETTE 7,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,LAFAYETTE 7,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,LAFAYETTE 7,147,18,125,1,291
Sam Charbonne Au,State Representative ,72,D,Floyd,LAFAYETTE 7,64,21,74,0,159
,Registered Voters,,,Floyd,NEW ALBANY 01,,,,,5168
,Ballots Cast,,,Floyd,NEW ALBANY 01,363,70,134,1,568
,Straight Party,,R,Floyd,NEW ALBANY 01,108,7,29,0,144
,Straight Party,,D,Floyd,NEW ALBANY 01,118,41,43,1,203
,Straight Party,,L,Floyd,NEW ALBANY 01,2,0,2,0,4
Mike Braun,U.S. Senate,,R,Floyd,NEW ALBANY 01,164,176,17,1,358
Joe Donnelly,U.S. Senate,,D,Floyd,NEW ALBANY 01,10,53,7,0,70
Lucy M Brenton,U.S. Senate,,L,Floyd,NEW ALBANY 01,48,74,9,0,131
Write In ,U.S. Senate,,,Floyd,NEW ALBANY 01,0,1,0,0,1
Connie Lawson,Secretary of State,,R,Floyd,NEW ALBANY 01,171,167,15,0,353
Jim Harper,Secretary of State,,D,Floyd,NEW ALBANY 01,9,46,3,0,58
Mark W. Rutherford,Secretary of State,,L,Floyd,NEW ALBANY 01,53,72,4,1,130
Write In ,Secretary of State,,,Floyd,NEW ALBANY 01,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,NEW ALBANY 01,169,9,51,0,229
Joselyn Whitticker,Auditor of State,,D,Floyd,NEW ALBANY 01,169,48,74,0,291
John Schick,Auditor of State,,L,Floyd,NEW ALBANY 01,12,1,5,0,18
Kelly Mitchell,Treasurer of State,,R,Floyd,NEW ALBANY 01,178,14,51,0,243
John C. Aguilera,Treasurer of State,,D,Floyd,NEW ALBANY 01,172,44,78,0,294
Trey Hollingsworth,U S House,9,R,Floyd,NEW ALBANY 01,171,11,54,0,236
Liz Watson,U S House,9,D,Floyd,NEW ALBANY 01,185,59,79,1,324
Write In ,U S House,9,,Floyd,NEW ALBANY 01,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,NEW ALBANY 01,179,10,52,0,241
Anna Murray,State Senate,46,D,Floyd,NEW ALBANY 01,175,48,79,0,302
Karen Engleman,State Representative ,70,R,Floyd,NEW ALBANY 01,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,NEW ALBANY 01,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,NEW ALBANY 01,168,10,58,0,236
Sam Charbonne Au,State Representative ,72,D,Floyd,NEW ALBANY 01,185,48,74,0,307
,Registered Voters,,,Floyd,NEW ALBANY 03,,,,,3960
,Ballots Cast,,,Floyd,NEW ALBANY 03,255,23,151,,429
,Straight Party,,R,Floyd,NEW ALBANY 03,42,4,23,0,69
,Straight Party,,D,Floyd,NEW ALBANY 03,93,13,56,0,162
,Straight Party,,L,Floyd,NEW ALBANY 03,5,2,1,0,8
Mike Braun,U.S. Senate,,R,Floyd,NEW ALBANY 03,75,156,20,1,252
Joe Donnelly,U.S. Senate,,D,Floyd,NEW ALBANY 03,5,14,2,1,22
Lucy M Brenton,U.S. Senate,,L,Floyd,NEW ALBANY 03,42,104,4,0,150
Write In ,U.S. Senate,,,Floyd,NEW ALBANY 03,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,NEW ALBANY 03,80,152,16,1,249
Jim Harper,Secretary of State,,D,Floyd,NEW ALBANY 03,5,15,2,0,22
Mark W. Rutherford,Secretary of State,,L,Floyd,NEW ALBANY 03,41,104,3,0,148
Write In ,Secretary of State,,,Floyd,NEW ALBANY 03,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,NEW ALBANY 03,86,5,45,0,136
Joselyn Whitticker,Auditor of State,,D,Floyd,NEW ALBANY 03,143,15,99,0,257
John Schick,Auditor of State,,L,Floyd,NEW ALBANY 03,17,2,3,0,22
Kelly Mitchell,Treasurer of State,,R,Floyd,NEW ALBANY 03,93,6,43,0,142
John C. Aguilera,Treasurer of State,,D,Floyd,NEW ALBANY 03,152,16,103,0,271
Trey Hollingsworth,U S House,9,R,Floyd,NEW ALBANY 03,81,7,43,0,131
Liz Watson,U S House,9,D,Floyd,NEW ALBANY 03,171,14,107,0,292
Write In ,U S House,9,,Floyd,NEW ALBANY 03,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,NEW ALBANY 03,91,7,46,0,144
Anna Murray,State Senate,46,D,Floyd,NEW ALBANY 03,160,15,102,0,277
Karen Engleman,State Representative ,70,R,Floyd,NEW ALBANY 03,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,NEW ALBANY 03,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,NEW ALBANY 03,101,9,51,0,161
Sam Charbonne Au,State Representative ,72,D,Floyd,NEW ALBANY 03,151,13,98,0,262
,Registered Voters,,,Floyd,NEW ALBANY 05,,,,,4916
,Ballots Cast,,,Floyd,NEW ALBANY 05,295,27,195,,517
,Straight Party,,R,Floyd,NEW ALBANY 05,51,4,20,0,75
,Straight Party,,D,Floyd,NEW ALBANY 05,116,13,76,0,205
,Straight Party,,L,Floyd,NEW ALBANY 05,0,1,3,0,4
Mike Braun,U.S. Senate,,R,Floyd,NEW ALBANY 05,90,180,17,1,288
Joe Donnelly,U.S. Senate,,D,Floyd,NEW ALBANY 05,8,18,1,0,27
Lucy M Brenton,U.S. Senate,,L,Floyd,NEW ALBANY 05,50,131,12,1,194
Write In ,U.S. Senate,,,Floyd,NEW ALBANY 05,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,NEW ALBANY 05,99,175,15,0,289
Jim Harper,Secretary of State,,D,Floyd,NEW ALBANY 05,8,16,3,0,27
Mark W. Rutherford,Secretary of State,,L,Floyd,NEW ALBANY 05,54,122,13,1,190
Write In ,Secretary of State,,,Floyd,NEW ALBANY 05,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,NEW ALBANY 05,95,10,55,0,160
Joselyn Whitticker,Auditor of State,,D,Floyd,NEW ALBANY 05,178,17,122,0,317
John Schick,Auditor of State,,L,Floyd,NEW ALBANY 05,14,0,13,0,27
Kelly Mitchell,Treasurer of State,,R,Floyd,NEW ALBANY 05,103,10,59,0,172
John C. Aguilera,Treasurer of State,,D,Floyd,NEW ALBANY 05,182,17,131,0,330
Trey Hollingsworth,U S House,9,R,Floyd,NEW ALBANY 05,90,10,51,0,151
Liz Watson,U S House,9,D,Floyd,NEW ALBANY 05,203,17,141,0,361
Write In ,U S House,9,,Floyd,NEW ALBANY 05,0,0,0,0,0
Ron Grooms,State Senate,46,R,Floyd,NEW ALBANY 05,98,9,58,0,165
Anna Murray,State Senate,46,D,Floyd,NEW ALBANY 05,192,18,134,0,344
Karen Engleman,State Representative ,70,R,Floyd,NEW ALBANY 05,,,,,0
Sarah Stivers,State Representative ,70,D,Floyd,NEW ALBANY 05,,,,,0
Edward D (ED) Clere,State Representative ,72,R,Floyd,NEW ALBANY 05,109,9,62,0,180
Sam Charbonne Au,State Representative ,72,D,Floyd,NEW ALBANY 05,182,18,131,0,331
,Registered Voters,,,Floyd,NEW ALBANY 07,,,,,3576
,Ballots Cast,,,Floyd,NEW ALBANY 07,191,26,80,,297
,Straight Party,,R,Floyd,NEW ALBANY 07,41,4,14,0,59
,Straight Party,,D,Floyd,NEW ALBANY 07,86,11,33,0,130
,Straight Party,,L,Floyd,NEW ALBANY 07,1,1,0,0,2
Mike Braun,U.S. Senate,,R,Floyd,NEW ALBANY 07,59,120,10,1,190
Joe Donnelly,U.S. Senate,,D,Floyd,NEW ALBANY 07,6,18,2,0,26
Lucy M Brenton,U.S. Senate,,L,Floyd,NEW ALBANY 07,28,46,5,0,79
Write In ,U.S. Senate,,,Floyd,NEW ALBANY 07,0,0,0,0,0
Connie Lawson,Secretary of State,,R,Floyd,NEW ALBANY 07,62,118,8,1,189
Jim Harper,Secretary of State,,D,Floyd,NEW ALBANY 07,6,18,1,1,26
Mark W. Rutherford,Secretary of State,,L,Floyd,NEW ALBANY 07,32,46,1,0,79
Write In ,Secretary of State,,,Floyd,NEW ALBANY 07,0,0,0,0,0
Tera Klutz,Auditor of State,,R,Floyd,NEW ALBANY 07,62,9,29,0,100
Joselyn Whitticker,Auditor of State,,D,Floyd,NEW ALBANY 07,119,17,48,0,184
John Schick,Auditor of State,,L,Floyd,NEW ALBANY 07,8,0,1,0,9
Kelly Mitchell,Treasurer of State,,R,Floyd,NEW ALBANY 07,73,8,33,0,114
