county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional,absentee,federal
Marshall,Polk 2,U.S. Senate,,,Write in,0,,,,,
Marshall,Polk 2,State Secretary,,R,Connie Lawson,384,,,,,
Marshall,Polk 2,State Secretary,,D,Jim Harper,144,,,,,
Marshall,Polk 2,State Secretary,,L,Mark W. Rutherford,23,,,,,
Marshall,Polk 2,State Secretary,,,Write in,0,,,,,
Marshall,Polk 2,State Auditor,,R,Tera Klutz,366,,,,,
Marshall,Polk 2,State Auditor,,D,Joselyn Whitticker,147,,,,,
Marshall,Polk 2,State Auditor,,L,John Schick,31,,,,,
Marshall,Polk 2,State Treasurer,,R,Kelly Mitchell,388,,,,,
Marshall,Polk 2,State Treasurer,,D,John C. Aguilera,154,,,,,
Marshall,Polk 2,U.S. House,2,R,Jackie Walorski,334,,,,,
Marshall,Polk 2,U.S. House,2,D,Mel Hall,218,,,,,
Marshall,Polk 2,U.S. House,2,,Write in,1,,,,,
Marshall,Polk 2,State House,17,R,Jack Jordan,380,,,,,
Marshall,Polk 2,State House,17,D,Michelle Livinghouse,164,,,,,
Marshall,Polk 2,U.S. Senate,,R,Mike Braun,296,,,,,
Marshall,Polk 2,U.S. Senate,,D,Joe Donnelly,113,,,,,
Marshall,Polk 2,U.S. Senate,,L,Lucy M. Brenton,13,,,,,
Marshall,Polk 2,U.S. Senate,,,Write in,0,,,,,
Marshall,Polk 2,State Secretary,,R,Connie Lawson,330,,,,,
Marshall,Polk 2,State Secretary,,D,Jim Harper,73,,,,,
Marshall,Polk 2,State Secretary,,L,Mark W. Rutherford,16,,,,,
Marshall,Polk 2,State Secretary,,,Write in,0,,,,,
Marshall,Polk 2,State Auditor,,R,Tera Klutz,315,,,,,
Marshall,Polk 2,State Auditor,,D,Joselyn Whitticker,88,,,,,
Marshall,Polk 2,State Auditor,,L,John Schick,18,,,,,
Marshall,Polk 2,State Treasurer,,R,Kelly Mitchell,340,,,,,
Marshall,Polk 2,State Treasurer,,D,John C. Aguilera,78,,,,,
Marshall,Polk 2,U.S. House,2,R,Jackie Walorski,313,,,,,
Marshall,Polk 2,U.S. House,2,D,Mel Hall,106,,,,,
Marshall,Polk 2,U.S. House,2,,Write in,0,,,,,
Marshall,Polk 2,State House,17,R,Jack Jordan,332,,,,,
Marshall,Polk 2,State House,17,D,Michelle Livinghouse,87,,,,,
Marshall,Polk 2,U.S. Senate,,R,Mike Braun,269,,,,,
Marshall,Polk 2,U.S. Senate,,D,Joe Donnelly,244,,,,,
Marshall,Polk 2,U.S. Senate,,L,"Lucy M.,brenton",20,,,,,
Marshall,Polk 2,U.S. Senate,,,Write in,0,,,,,
Marshall,Polk 2,State Secretary,,R,Connie Lawson,295,,,,,
Marshall,Polk 2,State Secretary,,D,Jim Harper,208,,,,,
Marshall,Polk 2,State Secretary,,L,Mark W. Rutherford,27,,,,,
Marshall,Polk 2,State Secretary,,,Write in,0,,,,,
Marshall,Polk 2,State Auditor,,R,Tera Klutz,299,,,,,
Marshall,Polk 2,State Auditor,,D,Joselyn Whitticker,185,,,,,
Marshall,Polk 2,State Auditor,,L,John Schick,27,,,,,
Marshall,Polk 2,State Treasurer,,R,Kelly Mitchell,310,,,,,
Marshall,Polk 2,State Treasurer,,D,John C. Aguilera,193,,,,,
Marshall,Polk 2,U.S. House,2,R,Jackie Walorski,278,,,,,
Marshall,Polk 2,U.S. House,2,D,Mel Hall,246,,,,,
Marshall,Polk 2,U.S. House,2,,Write in,2,,,,,
Marshall,Polk 2,State House,17,R,Jack Jordan,296,,,,,
Marshall,Polk 2,State House,17,D,Michelle Livinghouse,221,,,,,
Marshall,Polk 2,U.S. Senate,,R,Mike Braun,394,,,,,
Marshall,Polk 2,U.S. Senate,,D,Joe Donnelly,323,,,,,
