county,precinct,office,district,party,candidate,election_day,early_voting,post_election,absentee,votes
Newton,Lake 1,President,,,Under votes,1,0,0,0,1
Newton,Lake 1,Governor,,REP,Eric Holcomb,357,65,0,21,443
Newton,Lake 1,Governor,,DEM,Woodrow (Woody) Myers,64,20,0,24,108
Newton,Lake 1,Governor,,LIB,Donald G Rainwater II,120,12,0,5,137
Newton,Lake 1,Governor,,,Over votes,0,0,0,0,0
Newton,Lake 1,Governor,,,Under votes,8,1,0,2,11
Newton,Lake 1,Attorney General,,REP,Todd Rokita,429,73,0,25,527
Newton,Lake 1,Attorney General,,DEM,Jonathan Weinzapfel,96,25,0,24,145
Newton,Lake 1,Attorney General,,,Over votes,0,0,0,0,0
Newton,Lake 1,Attorney General,,,Under votes,24,0,0,3,27
Newton,Lake 1,U.S. House,4,REP,Jim Baird,433,72,0,26,531
Newton,Lake 1,U.S. House,4,DEM,Joe Mackey,93,26,0,24,143
Newton,Lake 1,U.S. House,4,,Write-In votes,2,0,0,0,2
Newton,Lake 1,U.S. House,4,,Over votes,0,0,0,0,0
Newton,Lake 1,U.S. House,4,,Under votes,21,0,0,2,23
Newton,Lake 1,State Representative,13,REP,Sharon Negele,,,,,
Newton,Lake 1,State Representative,13,DEM,Loretta Barnes,,,,,
Newton,Lake 1,State Representative,13,,Over votes,,,,,
Newton,Lake 1,State Representative,13,,Under votes,,,,,
Newton,Lake 1,State Representative,16,REP,Douglas L Gutwein,425,74,0,26,525
Newton,Lake 1,State Representative,16,DEM,Michael A Lovely,102,24,0,24,150
Newton,Lake 1,State Representative,16,,Over votes,0,0,0,0,0
Newton,Lake 1,State Representative,16,,Under votes,22,0,0,2,24
Newton,Lake 2,Registered Voters,,,,,,,,829
Newton,Lake 2,Ballots Cast,,,,405,62,0,47,514
Newton,Lake 2,Straight Party,,REP,,137,22,0,16,175
Newton,Lake 2,Straight Party,,DEM,,25,10,0,11,46
Newton,Lake 2,Straight Party,,LIB,,2,1,0,1,4
Newton,Lake 2,Straight Party,,,Over votes,0,0,0,0,0
Newton,Lake 2,Straight Party,,,Under votes,241,29,0,19,289
Newton,Lake 2,President,,REP,Donald J Trump,326,43,0,25,394
Newton,Lake 2,President,,DEM,Joseph R Biden,72,19,0,20,111
Newton,Lake 2,President,,LIB,Jo Jorgensen,5,0,0,1,6
Newton,Lake 2,President,,,Write-In votes,1,0,0,0,1
Newton,Lake 2,President,,,Over votes,0,0,0,0,0
Newton,Lake 2,President,,,Under votes,1,0,0,1,2
Newton,Lake 2,Governor,,REP,Eric Holcomb,269,39,0,27,335
Newton,Lake 2,Governor,,DEM,Woodrow (Woody) Myers,54,15,0,18,87
Newton,Lake 2,Governor,,LIB,Donald G Rainwater II,78,8,0,0,86
Newton,Lake 2,Governor,,,Over votes,0,0,0,0,0
Newton,Lake 2,Governor,,,Under votes,4,0,0,2,6
Newton,Lake 2,Attorney General,,REP,Todd Rokita,321,44,0,26,391
Newton,Lake 2,Attorney General,,DEM,Jonathan Weinzapfel,74,18,0,19,111
Newton,Lake 2,Attorney General,,,Over votes,0,0,0,0,0
Newton,Lake 2,Attorney General,,,Under votes,10,0,0,2,12
Newton,Lake 2,U.S. House,4,REP,Jim Baird,309,45,0,25,379
Newton,Lake 2,U.S. House,4,DEM,Joe Mackey,87,16,0,19,122
Newton,Lake 2,U.S. House,4,,Write-In votes,0,0,0,1,1
Newton,Lake 2,U.S. House,4,,Over votes,0,0,0,0,0
Newton,Lake 2,U.S. House,4,,Under votes,9,1,0,2,12
Newton,Lake 2,State Representative,13,REP,Sharon Negele,,,,,
Newton,Lake 2,State Representative,13,DEM,Loretta Barnes,,,,,
Newton,Lake 2,State Representative,13,,Over votes,,,,,
Newton,Lake 2,State Representative,13,,Under votes,,,,,
Newton,Lake 2,State Representative,16,REP,Douglas L Gutwein,320,46,0,25,391
Newton,Lake 2,State Representative,16,DEM,Michael A Lovely,76,15,0,20,111
Newton,Lake 2,State Representative,16,,Over votes,0,0,0,0,0
Newton,Lake 2,State Representative,16,,Under votes,9,1,0,2,12
,Lincoln 1,,,,,,,,,
Newton,Lincoln 1,Registered Voters,,,,,,,,859
Newton,Lincoln 1,Ballots Cast,,,,401,72,0,70,543
Newton,Lincoln 1,Straight Party,,REP,,147,41,0,18,206
Newton,Lincoln 1,Straight Party,,DEM,,29,5,0,30,64
Newton,Lincoln 1,Straight Party,,LIB,,1,1,0,0,2
Newton,Lincoln 1,Straight Party,,,Over votes,0,0,0,0,0
Newton,Lincoln 1,Straight Party,,,Under votes,224,25,0,22,271
Newton,Lincoln 1,President,,REP,Donald J Trump,318,54,0,23,395
Newton,Lincoln 1,President,,DEM,Joseph R Biden,74,16,0,42,132
Newton,Lincoln 1,President,,LIB,Jo Jorgensen,7,1,0,3,11
Newton,Lincoln 1,President,,,Write-In votes,1,0,0,1,2
Newton,Lincoln 1,President,,,Over votes,0,0,0,0,0
Newton,Lincoln 1,President,,,Under votes,1,1,0,1,3
Newton,Lincoln 1,Governor,,REP,Eric Holcomb,269,60,0,27,356
Newton,Lincoln 1,Governor,,DEM,Woodrow (Woody) Myers,58,9,0,40,107
Newton,Lincoln 1,Governor,,LIB,Donald G Rainwater II,71,2,0,0,73
Newton,Lincoln 1,Governor,,,Over votes,0,0,0,0,0
Newton,Lincoln 1,Governor,,,Under votes,3,1,0,3,7
Newton,Lincoln 1,Attorney General,,REP,Todd Rokita,310,56,0,25,391
Newton,Lincoln 1,Attorney General,,DEM,Jonathan Weinzapfel,83,13,0,41,137
Newton,Lincoln 1,Attorney General,,,Over votes,0,0,0,0,0
Newton,Lincoln 1,Attorney General,,,Under votes,8,3,0,4,15
Newton,Lincoln 1,U.S. House,4,REP,Jim Baird,305,55,0,25,385
Newton,Lincoln 1,U.S. House,4,DEM,Joe Mackey,84,14,0,41,139
Newton,Lincoln 1,U.S. House,4,,Write-In votes,0,0,0,0,0
Newton,Lincoln 1,U.S. House,4,,Over votes,0,0,0,0,0
Newton,Lincoln 1,U.S. House,4,,Under votes,12,3,0,4,19
Newton,Lincoln 1,State Representative,13,REP,Sharon Negele,,,,,
Newton,Lincoln 1,State Representative,13,DEM,Loretta Barnes,,,,,
Newton,Lincoln 1,State Representative,13,,Over votes,,,,,
Newton,Lincoln 1,State Representative,13,,Under votes,,,,,
Newton,Lincoln 1,State Representative,16,REP,Douglas L Gutwein,304,54,0,26,384
Newton,Lincoln 1,State Representative,16,DEM,Michael A Lovely,86,15,0,40,141
Newton,Lincoln 1,State Representative,16,,Over votes,0,0,0,0,0
Newton,Lincoln 1,State Representative,16,,Under votes,11,3,0,4,18
Newton,Lincoln 2,Registered Voters,,,,,,,,1255
Newton,Lincoln 2,Ballots Cast,,,,588,130,0,87,805
Newton,Lincoln 2,Straight Party,,REP,,237,45,0,26,308
Newton,Lincoln 2,Straight Party,,DEM,,43,21,0,16,80
Newton,Lincoln 2,Straight Party,,LIB,,3,1,0,1,5
Newton,Lincoln 2,Straight Party,,,Over votes,1,0,0,0,1
Newton,Lincoln 2,Straight Party,,,Under votes,304,63,0,44,411
Newton,Lincoln 2,President,,REP,Donald J Trump,492,85,0,47,624
Newton,Lincoln 2,President,,DEM,Joseph R Biden,81,40,0,39,160
Newton,Lincoln 2,President,,LIB,Jo Jorgensen,11,3,0,1,15
Newton,Lincoln 2,President,,,Write-In votes,1,0,0,0,1
Newton,Lincoln 2,President,,,Over votes,0,0,0,0,0
Newton,Lincoln 2,President,,,Under votes,3,2,0,0,5
Newton,Lincoln 2,Governor,,REP,Eric Holcomb,391,75,0,49,515
Newton,Lincoln 2,Governor,,DEM,Woodrow (Woody) Myers,75,31,0,33,139
Newton,Lincoln 2,Governor,,LIB,Donald G Rainwater II,118,20,0,3,141
Newton,Lincoln 2,Governor,,,Over votes,0,0,0,0,0
Newton,Lincoln 2,Governor,,,Under votes,4,4,0,2,10
Newton,Lincoln 2,Attorney General,,REP,Todd Rokita,472,86,0,47,605
Newton,Lincoln 2,Attorney General,,DEM,Jonathan Weinzapfel,100,38,0,37,175
Newton,Lincoln 2,Attorney General,,,Over votes,0,0,0,0,0
Newton,Lincoln 2,Attorney General,,,Under votes,16,6,0,3,25
Newton,Lincoln 2,U.S. House,4,REP,Jim Baird,458,87,0,47,592
Newton,Lincoln 2,U.S. House,4,DEM,Joe Mackey,108,38,0,37,183
Newton,Lincoln 2,U.S. House,4,,Write-In votes,0,0,0,0,0
Newton,Lincoln 2,U.S. House,4,,Over votes,0,0,0,0,0
Newton,Lincoln 2,U.S. House,4,,Under votes,22,5,0,3,30
Newton,Lincoln 2,State Representative,13,REP,Sharon Negele,,,,,
Newton,Lincoln 2,State Representative,13,DEM,Loretta Barnes,,,,,
Newton,Lincoln 2,State Representative,13,,Over votes,,,,,
Newton,Lincoln 2,State Representative,13,,Under votes,,,,,
Newton,Lincoln 2,State Representative,16,REP,Douglas L Gutwein,470,85,0,47,602
Newton,Lincoln 2,State Representative,16,DEM,Michael A Lovely,103,40,0,37,180
Newton,Lincoln 2,State Representative,16,,Over votes,1,0,0,0,1
Newton,Lincoln 2,State Representative,16,,Under votes,14,5,0,3,22
Newton,Lincoln 3,Registered Voters,,,,,,,,1392
Newton,Lincoln 3,Ballots Cast,,,,636,111,0,85,832
Newton,Lincoln 3,Straight Party,,REP,,241,57,0,27,325
Newton,Lincoln 3,Straight Party,,DEM,,76,17,0,24,117
Newton,Lincoln 3,Straight Party,,LIB,,3,0,0,1,4
Newton,Lincoln 3,Straight Party,,,Over votes,1,0,0,1,2
Newton,Lincoln 3,Straight Party,,,Under votes,315,37,0,32,384
Newton,Lincoln 3,President,,REP,Donald J Trump,461,81,0,36,578
Newton,Lincoln 3,President,,DEM,Joseph R Biden,154,30,0,46,230
Newton,Lincoln 3,President,,LIB,Jo Jorgensen,17,0,0,2,19
Newton,Lincoln 3,President,,,Write-In votes,1,0,0,0,1
Newton,Lincoln 3,President,,,Over votes,1,0,0,0,1
Newton,Lincoln 3,President,,,Under votes,2,0,0,1,3
Newton,Lincoln 3,Governor,,REP,Eric Holcomb,402,72,0,33,507
Newton,Lincoln 3,Governor,,DEM,Woodrow (Woody) Myers,124,26,0,40,190
Newton,Lincoln 3,Governor,,LIB,Donald G Rainwater II,107,12,0,10,129
Newton,Lincoln 3,Governor,,,Over votes,1,0,0,0,1
Newton,Lincoln 3,Governor,,,Under votes,2,1,0,2,5
Newton,Lincoln 3,Attorney General,,REP,Todd Rokita,451,79,0,37,567
Newton,Lincoln 3,Attorney General,,DEM,Jonathan Weinzapfel,175,29,0,42,246
Newton,Lincoln 3,Attorney General,,,Over votes,0,0,0,0,0
Newton,Lincoln 3,Attorney General,,,Under votes,10,3,0,6,19
Newton,Lincoln 3,U.S. House,4,REP,Jim Baird,452,81,0,37,570
Newton,Lincoln 3,U.S. House,4,DEM,Joe Mackey,171,28,0,43,242
Newton,Lincoln 3,U.S. House,4,,Write-In votes,0,0,0,0,0
Newton,Lincoln 3,U.S. House,4,,Over votes,0,0,0,0,0
Newton,Lincoln 3,U.S. House,4,,Under votes,13,2,0,5,20
Newton,Lincoln 3,State Representative,13,REP,Sharon Negele,,,,,
Newton,Lincoln 3,State Representative,13,DEM,Loretta Barnes,,,,,
Newton,Lincoln 3,State Representative,13,,Over votes,,,,,
Newton,Lincoln 3,State Representative,13,,Under votes,,,,,
Newton,Lincoln 3,State Representative,16,REP,Douglas L Gutwein,464,79,0,34,577
Newton,Lincoln 3,State Representative,16,DEM,Michael A Lovely,161,29,0,45,235
Newton,Lincoln 3,State Representative,16,,Over votes,0,0,0,0,0
Newton,Lincoln 3,State Representative,16,,Under votes,11,3,0,6,20
Newton,McClellan,Registered Voters,,,,,,,,154
Newton,McClellan,Ballots Cast,,,,64,27,0,10,101
Newton,McClellan,Straight Party,,REP,,26,14,0,2,42
Newton,McClellan,Straight Party,,DEM,,5,2,0,1,8
Newton,McClellan,Straight Party,,LIB,,1,0,0,0,1
Newton,McClellan,Straight Party,,,Over votes,0,0,0,0,0
Newton,McClellan,Straight Party,,,Under votes,32,11,0,7,50
Newton,McClellan,President,,REP,Donald J Trump,50,23,0,5,78
Newton,McClellan,President,,DEM,Joseph R Biden,12,4,0,5,21
Newton,McClellan,President,,LIB,Jo Jorgensen,1,0,0,0,1
Newton,McClellan,President,,,Write-In votes,1,0,0,0,1
Newton,McClellan,President,,,Over votes,0,0,0,0,0
Newton,McClellan,President,,,Under votes,0,0,0,0,0
Newton,McClellan,Governor,,REP,Eric Holcomb,45,17,0,5,67
Newton,McClellan,Governor,,DEM,Woodrow (Woody) Myers,10,5,0,5,20
Newton,McClellan,Governor,,LIB,Donald G Rainwater II,8,5,0,0,13
Newton,McClellan,Governor,,,Over votes,0,0,0,0,0
Newton,McClellan,Governor,,,Under votes,1,0,0,0,1
Newton,McClellan,Attorney General,,REP,Todd Rokita,47,21,0,4,72
Newton,McClellan,Attorney General,,DEM,Jonathan Weinzapfel,13,6,0,5,24
Newton,McClellan,Attorney General,,,Over votes,0,0,0,0,0
Newton,McClellan,Attorney General,,,Under votes,4,0,0,1,5
Newton,McClellan,U.S. House,4,REP,Jim Baird,46,23,0,4,73
Newton,McClellan,U.S. House,4,DEM,Joe Mackey,13,3,0,6,22
Newton,McClellan,U.S. House,4,,Write-In votes,0,0,0,0,0
Newton,McClellan,U.S. House,4,,Over votes,0,0,0,0,0
Newton,McClellan,U.S. House,4,,Under votes,5,1,0,0,6
Newton,McClellan,State Representative,13,REP,Sharon Negele,,,,,
Newton,McClellan,State Representative,13,DEM,Loretta Barnes,,,,,
Newton,McClellan,State Representative,13,,Over votes,,,,,
Newton,McClellan,State Representative,13,,Under votes,,,,,
Newton,McClellan,State Representative,16,REP,Douglas L Gutwein,49,22,0,5,76
Newton,McClellan,State Representative,16,DEM,Michael A Lovely,12,4,0,5,21
Newton,McClellan,State Representative,16,,Over votes,0,0,0,0,0
Newton,McClellan,State Representative,16,,Under votes,3,1,0,0,4
Newton,Washington,Registered Voters,,,,,,,,254
Newton,Washington,Ballots Cast,,,,129,43,0,20,192
Newton,Washington,Straight Party,,REP,,43,20,0,4,67
Newton,Washington,Straight Party,,DEM,,2,2,0,2,6
Newton,Washington,Straight Party,,LIB,,3,1,0,0,4
Newton,Washington,Straight Party,,,Over votes,0,0,0,0,0
Newton,Washington,Straight Party,,,Under votes,81,20,0,14,115
Newton,Washington,President,,REP,Donald J Trump,110,35,0,13,158
Newton,Washington,President,,DEM,Joseph R Biden,15,7,0,6,28
Newton,Washington,President,,LIB,Jo Jorgensen,4,1,0,1,6
Newton,Washington,President,,,Write-In votes,0,0,0,0,0
Newton,Washington,President,,,Over votes,0,0,0,0,0
Newton,Washington,President,,,Under votes,0,0,0,0,0
Newton,Washington,Governor,,REP,Eric Holcomb,99,32,0,14,145
Newton,Washington,Governor,,DEM,Woodrow (Woody) Myers,11,5,0,3,19
Newton,Washington,Governor,,LIB,Donald G Rainwater II,17,4,0,3,24
Newton,Washington,Governor,,,Over votes,0,0,0,0,0
Newton,Washington,Governor,,,Under votes,0,0,0,0,0
Newton,Washington,Attorney General,,REP,Todd Rokita,108,32,0,16,156
Newton,Washington,Attorney General,,DEM,Jonathan Weinzapfel,16,7,0,3,26
Newton,Washington,Attorney General,,,Over votes,0,0,0,0,0
Newton,Washington,Attorney General,,,Under votes,3,2,0,1,6
Newton,Washington,U.S. House,4,REP,Jim Baird,109,35,0,15,159
Newton,Washington,U.S. House,4,DEM,Joe Mackey,13,5,0,3,21
Newton,Washington,U.S. House,4,,Write-In votes,1,0,0,0,1
Newton,Washington,U.S. House,4,,Over votes,0,0,0,0,0
Newton,Washington,U.S. House,4,,Under votes,4,1,0,2,7
Newton,Washington,State Representative,13,REP,Sharon Negele,115,34,0,15,164
Newton,Washington,State Representative,13,DEM,Loretta Barnes,10,6,0,3,19
Newton,Washington,State Representative,13,,Over votes,0,0,0,0,0
Newton,Washington,State Representative,13,,Under votes,2,1,0,2,5
Newton,Washington,State Representative,16,REP,Douglas L Gutwein,,,,,
Newton,Washington,State Representative,16,DEM,Michael A Lovely,,,,,
Newton,Washington,State Representative,16,,Over votes,,,,,
Newton,Washington,State Representative,16,,Under votes,,,,,
Newton,TOTAL,Registered Voters,,,,,,,,10254
Newton,TOTAL,Ballots Cast,,,,4805,1113,0,733,6651
Newton,TOTAL,Straight Party,,REP,,1728,450,0,193,2371
Newton,TOTAL,Straight Party,,DEM,,318,160,0,137,615
Newton,TOTAL,Straight Party,,LIB,,32,10,0,5,47
Newton,TOTAL,Straight Party,,,Over votes,2,0,0,3,5
Newton,TOTAL,Straight Party,,,Under votes,2725,493,0,395,3613
Newton,TOTAL,President,,REP,Donald J Trump,3827,751,0,364,4942
Newton,TOTAL,President,,DEM,Joseph R Biden,831,336,0,342,1509
Newton,TOTAL,President,,LIB,Jo Jorgensen,110,14,0,16,140
Newton,TOTAL,President,,,Write-In votes,15,1,0,2,18
Newton,TOTAL,President,,,Over votes,2,0,0,0,2
Newton,TOTAL,President,,,Under votes,20,11,0,9,40
Newton,TOTAL,Governor,,REP,Eric Holcomb,3256,708,0,394,4358
Newton,TOTAL,Governor,,DEM,Woodrow (Woody) Myers,613,264,0,271,1148
Newton,TOTAL,Governor,,LIB,Donald G Rainwater II,888,116,0,46,1050
Newton,TOTAL,Governor,,,Over votes,1,0,0,0,1
Newton,TOTAL,Governor,,,Under votes,40,23,0,19,82
Newton,TOTAL,Attorney General,,REP,Todd Rokita,3782,757,0,403,4942
Newton,TOTAL,Attorney General,,DEM,Jonathan Weinzapfel,885,318,0,293,1496
Newton,TOTAL,Attorney General,,,Over votes,1,0,0,0,1
Newton,TOTAL,Attorney General,,,Under votes,130,36,0,34,200
Newton,TOTAL,U.S. House,4,REP,Jim Baird,3753,764,0,392,4909
Newton,TOTAL,U.S. House,4,DEM,Joe Mackey,904,311,0,307,1522
Newton,TOTAL,U.S. House,4,,Write-In votes,4,0,0,1,5
Newton,TOTAL,U.S. House,4,,Over votes,0,0,0,0,0
Newton,TOTAL,U.S. House,4,,Under votes,137,36,0,33,206
Newton,TOTAL,State Representative,13,REP,Sharon Negele,1184,289,0,161,1634
Newton,TOTAL,State Representative,13,DEM,Loretta Barnes,214,126,0,69,409
Newton,TOTAL,State Representative,13,,Over votes,0,0,0,0,0
Newton,TOTAL,State Representative,13,,Under votes,35,19,0,14,68
Newton,TOTAL,State Representative,16,REP,Douglas L Gutwein,2629,485,0,241,3355
Newton,TOTAL,State Representative,16,DEM,Michael A Lovely,650,170,0,224,1044
Newton,TOTAL,State Representative,16,,Over votes,1,0,0,0,1
Newton,TOTAL,State Representative,16,,Under votes,85,22,0,21,128
