county,precinct,election_day,absentee,provisional,votes,office,district,candidate,party
Wabash,008 - Noble 8,232,208,0,440,Circuit Court Clerk,,LORI DRAPER,R
Wabash,008 - Noble 8,222,202,0,424,County Recorder,,ERIC RISH,R
Wabash,008 - Noble 8,230,206,0,436,County Sheriff,,RYAN T. BAKER,R
Wabash,008 - Noble 8,225,211,0,436,County Assessor,,KELLY SCHENKEL,R
Wabash,008 - Noble 8,221,203,0,424,County Commissioner District 2,,JEFF DAWES,R
Wabash,008 - Noble 8,221,200,0,421,County Council District 3,,MATT DILLON,R
Wabash,008 - Noble 8,224,199,0,423,Noble Township Trustee,,LORI HARNISH,R
Wabash,008 - Noble 8,130,118,0,248,Noble Township Board Member,,BRENDA HEGEL,R
Wabash,008 - Noble 8,166,132,0,298,Noble Township Board Member,,STEVEN KIRTLAN,R
Wabash,008 - Noble 8,123,99,0,222,Noble Township Board Member,,WILLIAM PLUMMER,R
Wabash,008 - Noble 8,47,57,0,104,Noble Township Board Member,,ANDREW OSBORNE,D
Wabash,008 - Noble 8,14,23,0,37,Metropolitan SB Northeast Dist,,SANDY DAVIS,
Wabash,008 - Noble 8,41,33,0,74,Metropolitan SB Northeast Dist,,MATT DRISCOLL,
Wabash,008 - Noble 8,61,70,0,131,Metropolitan SB Northeast Dist,,TIFFANY HAUPERT,
Wabash,008 - Noble 8,6,4,0,10,Metropolitan SB Northwest Dist,,DOUGLAS E. BOGERT,
Wabash,008 - Noble 8,30,29,0,59,Metropolitan SB Northwest Dist,,TODD DAZEY,
Wabash,008 - Noble 8,51,68,0,119,Metropolitan SB Northwest Dist,,TERESA L. GALLEY,
Wabash,008 - Noble 8,31,28,0,59,Metropolitan SB Northwest Dist,,RYAN ROSEN,
Wabash,008 - Noble 8,172,151,0,323,IN Supreme Court-Slaughter,,YES,
Wabash,008 - Noble 8,44,24,0,68,IN Supreme Court-Slaughter,,NO,
Wabash,008 - Noble 8,178,151,0,329,Court of Appeals Dist 2-Altice,,YES,
Wabash,008 - Noble 8,41,22,0,63,Court of Appeals Dist 2-Altice,,NO,
Wabash,009 - Noble 9,129,126,0,255,Public Question,,YES,
Wabash,009 - Noble 9,65,29,0,94,Public Question,,NO,
Wabash,009 - Noble 9,175,157,0,332,U.S. Senate,,MIKE BRAUN,R
Wabash,009 - Noble 9,53,32,0,85,U.S. Senate,,JOE DONNELLY,D
Wabash,009 - Noble 9,8,4,0,12,U.S. Senate,,LUCY M. BRENTON,L
Wabash,009 - Noble 9,0,0,0,0,U.S. Senate,,WRITE-IN,
Wabash,009 - Noble 9,191,166,0,357,Secretary of State,,CONNIE LAWSON,R
Wabash,009 - Noble 9,36,20,0,56,Secretary of State,,JIM HARPER,D
Wabash,009 - Noble 9,6,2,0,8,Secretary of State,,MARK W. RUTHERFORD,L
Wabash,009 - Noble 9,0,0,0,0,Secretary of State,,WRITE-IN,
Wabash,009 - Noble 9,187,168,0,355,Auditor of State,,TERA KLUTZ,R
Wabash,009 - Noble 9,40,20,0,60,Auditor of State,,JOSELYN WHITTICKER,D
Wabash,009 - Noble 9,7,3,0,10,Auditor of State,,JOHN SCHICK,L
Wabash,009 - Noble 9,196,169,0,365,Treasurer of State,,KELLY MITCHELL,R
Wabash,009 - Noble 9,36,19,0,55,Treasurer of State,,JOHN C. AGUILERA,D
Wabash,009 - Noble 9,186,159,0,345,U.S. House,2,JACKIE WALORSKI,R
Wabash,009 - Noble 9,52,32,0,84,U.S. House,2,MEL HALL,D
Wabash,009 - Noble 9,0,0,0,0,U.S. House,2,WRITE-IN,
Wabash,009 - Noble 9,187,163,0,350,State Senate,17,ANDY ZAY,R
Wabash,009 - Noble 9,47,26,0,73,State Senate,17,GARY L. SNYDER,D
Wabash,009 - Noble 9,185,162,0,347,State Representative,18,DAVID A. WOLKINS,R
Wabash,009 - Noble 9,47,28,0,75,State Representative,18,DEE M MOORE,D
Wabash,009 - Noble 9,211,175,0,386,Prosecuting Atty 27th Circuit,,WILLIAM C. HARTLEY JR.,R
Wabash,009 - Noble 9,215,180,0,395,Circuit Court Clerk,,LORI DRAPER,R
Wabash,009 - Noble 9,207,169,0,376,County Recorder,,ERIC RISH,R
Wabash,009 - Noble 9,217,180,0,397,County Sheriff,,RYAN T. BAKER,R
Wabash,009 - Noble 9,217,185,0,402,County Assessor,,KELLY SCHENKEL,R
Wabash,009 - Noble 9,211,179,0,390,County Commissioner District 2,,JEFF DAWES,R
Wabash,009 - Noble 9,182,160,0,342,County Council District 2,,BARBARA PEARSON,R
Wabash,009 - Noble 9,53,29,0,82,County Council District 2,,JANE LONG,D
Wabash,009 - Noble 9,210,178,0,388,Noble Township Trustee,,LORI HARNISH,R
Wabash,009 - Noble 9,159,153,0,312,Noble Township Board Member,,BRENDA HEGEL,R
Wabash,009 - Noble 9,184,144,0,328,Noble Township Board Member,,STEVEN KIRTLAN,R
Wabash,009 - Noble 9,134,121,0,255,Noble Township Board Member,,WILLIAM PLUMMER,R
Wabash,009 - Noble 9,49,24,0,73,Noble Township Board Member,,ANDREW OSBORNE,D
Wabash,009 - Noble 9,9,23,0,32,Metropolitan SB Northeast Dist,,SANDY DAVIS,
Wabash,009 - Noble 9,93,83,0,176,Metropolitan SB Northeast Dist,,MATT DRISCOLL,
Wabash,009 - Noble 9,120,72,0,192,Metropolitan SB Northeast Dist,,TIFFANY HAUPERT,
Wabash,009 - Noble 9,10,3,0,13,Metropolitan SB Northwest Dist,,DOUGLAS E. BOGERT,
Wabash,009 - Noble 9,91,87,0,178,Metropolitan SB Northwest Dist,,TODD DAZEY,
Wabash,009 - Noble 9,75,41,0,116,Metropolitan SB Northwest Dist,,TERESA L. GALLEY,
Wabash,009 - Noble 9,55,50,0,105,Metropolitan SB Northwest Dist,,RYAN ROSEN,
Wabash,009 - Noble 9,157,119,0,276,IN Supreme Court-Slaughter,,YES,
Wabash,009 - Noble 9,47,39,0,86,IN Supreme Court-Slaughter,,NO,
Wabash,009 - Noble 9,157,120,0,277,Court of Appeals Dist 2-Altice,,YES,
Wabash,009 - Noble 9,47,38,0,85,Court of Appeals Dist 2-Altice,,NO,
Wabash,010 - Noble 10,152,177,0,329,Public Question,,YES,
Wabash,010 - Noble 10,64,56,0,120,Public Question,,NO,
Wabash,010 - Noble 10,205,214,0,419,U.S. Senate,,MIKE BRAUN,R
Wabash,010 - Noble 10,58,65,0,123,U.S. Senate,,JOE DONNELLY,D
Wabash,010 - Noble 10,7,10,0,17,U.S. Senate,,LUCY M. BRENTON,L
Wabash,010 - Noble 10,0,0,0,0,U.S. Senate,,WRITE-IN,
Wabash,010 - Noble 10,218,230,0,448,Secretary of State,,CONNIE LAWSON,R
Wabash,010 - Noble 10,49,54,0,103,Secretary of State,,JIM HARPER,D
Wabash,010 - Noble 10,3,5,0,8,Secretary of State,,MARK W. RUTHERFORD,L
Wabash,010 - Noble 10,0,0,0,0,Secretary of State,,WRITE-IN,
Wabash,010 - Noble 10,209,226,0,435,Auditor of State,,TERA KLUTZ,R
Wabash,010 - Noble 10,55,56,0,111,Auditor of State,,JOSELYN WHITTICKER,D
Wabash,010 - Noble 10,4,3,0,7,Auditor of State,,JOHN SCHICK,L
Wabash,010 - Noble 10,217,233,0,450,Treasurer of State,,KELLY MITCHELL,R
Wabash,010 - Noble 10,50,53,0,103,Treasurer of State,,JOHN C. AGUILERA,D
Wabash,010 - Noble 10,213,224,0,437,U.S. House,2,JACKIE WALORSKI,R
Wabash,010 - Noble 10,59,63,0,122,U.S. House,2,MEL HALL,D
Wabash,010 - Noble 10,1,0,0,1,U.S. House,2,WRITE-IN,
Wabash,010 - Noble 10,219,225,0,444,State Senate,17,ANDY ZAY,R
Wabash,010 - Noble 10,52,59,0,111,State Senate,17,GARY L. SNYDER,D
Wabash,010 - Noble 10,218,225,0,443,State Representative,18,DAVID A. WOLKINS,R
Wabash,010 - Noble 10,50,59,0,109,State Representative,18,DEE M MOORE,D
Wabash,010 - Noble 10,238,243,0,481,Prosecuting Atty 27th Circuit,,WILLIAM C. HARTLEY JR.,R
Wabash,010 - Noble 10,243,252,0,495,Circuit Court Clerk,,LORI DRAPER,R
Wabash,010 - Noble 10,234,241,0,475,County Recorder,,ERIC RISH,R
Wabash,010 - Noble 10,247,253,0,500,County Sheriff,,RYAN T. BAKER,R
Wabash,010 - Noble 10,246,249,0,495,County Assessor,,KELLY SCHENKEL,R
Wabash,010 - Noble 10,246,247,0,493,County Commissioner District 2,,JEFF DAWES,R
Wabash,010 - Noble 10,240,238,0,478,County Council District 4,,KYLE M. BOWMAN,R
Wabash,010 - Noble 10,248,252,0,500,Noble Township Trustee,,LORI HARNISH,R
Wabash,010 - Noble 10,157,171,0,328,Noble Township Board Member,,BRENDA HEGEL,R
Wabash,010 - Noble 10,153,197,0,350,Noble Township Board Member,,STEVEN KIRTLAN,R
Wabash,010 - Noble 10,117,133,0,250,Noble Township Board Member,,WILLIAM PLUMMER,R
Wabash,010 - Noble 10,58,46,0,104,Noble Township Board Member,,ANDREW OSBORNE,D
Wabash,010 - Noble 10,33,30,0,63,Metropolitan SB Northeast Dist,,SANDY DAVIS,
Wabash,010 - Noble 10,108,112,0,220,Metropolitan SB Northeast Dist,,MATT DRISCOLL,
Wabash,010 - Noble 10,93,103,0,196,Metropolitan SB Northeast Dist,,TIFFANY HAUPERT,
Wabash,010 - Noble 10,8,5,0,13,Metropolitan SB Northwest Dist,,DOUGLAS E. BOGERT,
Wabash,010 - Noble 10,104,100,0,204,Metropolitan SB Northwest Dist,,TODD DAZEY,
Wabash,010 - Noble 10,78,103,0,181,Metropolitan SB Northwest Dist,,TERESA L. GALLEY,
Wabash,010 - Noble 10,51,44,0,95,Metropolitan SB Northwest Dist,,RYAN ROSEN,
Wabash,010 - Noble 10,161,181,0,342,IN Supreme Court-Slaughter,,YES,
Wabash,010 - Noble 10,55,42,0,97,IN Supreme Court-Slaughter,,NO,
Wabash,010 - Noble 10,164,184,0,348,Court of Appeals Dist 2-Altice,,YES,
Wabash,010 - Noble 10,52,36,0,88,Court of Appeals Dist 2-Altice,,NO,
Wabash,011 - Noble 11,123,158,0,281,Public Question,,YES,
Wabash,011 - Noble 11,54,47,0,101,Public Question,,NO,
Wabash,011 - Noble 11,160,176,0,336,U.S. Senate,,MIKE BRAUN,R
Wabash,011 - Noble 11,34,61,0,95,U.S. Senate,,JOE DONNELLY,D
Wabash,011 - Noble 11,11,9,0,20,U.S. Senate,,LUCY M. BRENTON,L
Wabash,011 - Noble 11,0,0,0,0,U.S. Senate,,WRITE-IN,
Wabash,011 - Noble 11,171,186,0,357,Secretary of State,,CONNIE LAWSON,R
Wabash,011 - Noble 11,24,54,0,78,Secretary of State,,JIM HARPER,D
Wabash,011 - Noble 11,10,5,0,15,Secretary of State,,MARK W. RUTHERFORD,L
Wabash,011 - Noble 11,0,0,0,0,Secretary of State,,WRITE-IN,
Wabash,011 - Noble 11,168,187,0,355,Auditor of State,,TERA KLUTZ,R
Wabash,011 - Noble 11,28,51,0,79,Auditor of State,,JOSELYN WHITTICKER,D
Wabash,011 - Noble 11,6,6,0,12,Auditor of State,,JOHN SCHICK,L
Wabash,011 - Noble 11,177,191,0,368,Treasurer of State,,KELLY MITCHELL,R
Wabash,011 - Noble 11,26,53,0,79,Treasurer of State,,JOHN C. AGUILERA,D
Wabash,011 - Noble 11,166,188,0,354,U.S. House,2,JACKIE WALORSKI,R
Wabash,011 - Noble 11,38,55,0,93,U.S. House,2,MEL HALL,D
Wabash,011 - Noble 11,0,0,0,0,U.S. House,2,WRITE-IN,
Wabash,011 - Noble 11,173,189,0,362,State Senate,17,ANDY ZAY,R
Wabash,011 - Noble 11,27,57,0,84,State Senate,17,GARY L. SNYDER,D
Wabash,011 - Noble 11,171,190,0,361,State Representative,18,DAVID A. WOLKINS,R
Wabash,011 - Noble 11,27,57,0,84,State Representative,18,DEE M MOORE,D
Wabash,011 - Noble 11,179,213,0,392,Prosecuting Atty 27th Circuit,,WILLIAM C. HARTLEY JR.,R
Wabash,011 - Noble 11,190,217,0,407,Circuit Court Clerk,,LORI DRAPER,R
Wabash,011 - Noble 11,182,214,0,396,County Recorder,,ERIC RISH,R
Wabash,011 - Noble 11,190,223,0,413,County Sheriff,,RYAN T. BAKER,R
Wabash,011 - Noble 11,187,218,0,405,County Assessor,,KELLY SCHENKEL,R
Wabash,011 - Noble 11,183,213,0,396,County Commissioner District 2,,JEFF DAWES,R
Wabash,011 - Noble 11,183,211,0,394,County Council District 3,,MATT DILLON,R
Wabash,011 - Noble 11,185,214,0,399,Noble Township Trustee,,LORI HARNISH,R
Wabash,011 - Noble 11,115,146,0,261,Noble Township Board Member,,BRENDA HEGEL,R
Wabash,011 - Noble 11,132,161,0,293,Noble Township Board Member,,STEVEN KIRTLAN,R
Wabash,011 - Noble 11,90,123,0,213,Noble Township Board Member,,WILLIAM PLUMMER,R
Wabash,011 - Noble 11,30,49,0,79,Noble Township Board Member,,ANDREW OSBORNE,D
Wabash,011 - Noble 11,16,18,0,34,Metropolitan SB Northeast Dist,,SANDY DAVIS,
Wabash,011 - Noble 11,85,99,0,184,Metropolitan SB Northeast Dist,,MATT DRISCOLL,
Wabash,011 - Noble 11,90,98,0,188,Metropolitan SB Northeast Dist,,TIFFANY HAUPERT,
Wabash,011 - Noble 11,12,12,0,24,Metropolitan SB Northwest Dist,,DOUGLAS E. BOGERT,
Wabash,011 - Noble 11,58,85,0,143,Metropolitan SB Northwest Dist,,TODD DAZEY,
Wabash,011 - Noble 11,72,62,0,134,Metropolitan SB Northwest Dist,,TERESA L. GALLEY,
Wabash,011 - Noble 11,50,62,0,112,Metropolitan SB Northwest Dist,,RYAN ROSEN,
Wabash,011 - Noble 11,132,155,0,287,IN Supreme Court-Slaughter,,YES,
Wabash,011 - Noble 11,41,38,0,79,IN Supreme Court-Slaughter,,NO,
Wabash,011 - Noble 11,129,155,0,284,Court of Appeals Dist 2-Altice,,YES,
Wabash,011 - Noble 11,39,39,0,78,Court of Appeals Dist 2-Altice,,NO,
Wabash,012 - Chester 1,162,99,0,261,Public Question,,YES,
Wabash,012 - Chester 1,66,60,0,126,Public Question,,NO,
Wabash,012 - Chester 1,43,18,0,61,Public Question-Manchester Schools,,YES,
Wabash,012 - Chester 1,201,153,0,354,Public Question-Manchester Schools,,NO,
Wabash,012 - Chester 1,175,104,0,279,U.S. Senate,,MIKE BRAUN,R
Wabash,012 - Chester 1,62,61,0,123,U.S. Senate,,JOE DONNELLY,D
Wabash,012 - Chester 1,12,3,0,15,U.S. Senate,,LUCY M. BRENTON,L
Wabash,012 - Chester 1,0,0,0,0,U.S. Senate,,WRITE-IN,
Wabash,012 - Chester 1,204,118,0,322,Secretary of State,,CONNIE LAWSON,R
Wabash,012 - Chester 1,37,46,0,83,Secretary of State,,JIM HARPER,D
Wabash,012 - Chester 1,9,4,0,13,Secretary of State,,MARK W. RUTHERFORD,L
Wabash,012 - Chester 1,0,0,0,0,Secretary of State,,WRITE-IN,
Wabash,012 - Chester 1,195,120,0,315,Auditor of State,,TERA KLUTZ,R
Wabash,012 - Chester 1,41,44,0,85,Auditor of State,,JOSELYN WHITTICKER,D
Wabash,012 - Chester 1,8,3,0,11,Auditor of State,,JOHN SCHICK,L
Wabash,012 - Chester 1,202,124,0,326,Treasurer of State,,KELLY MITCHELL,R
Wabash,012 - Chester 1,42,42,0,84,Treasurer of State,,JOHN C. AGUILERA,D
Wabash,012 - Chester 1,185,114,0,299,U.S. House,2,JACKIE WALORSKI,R
Wabash,012 - Chester 1,58,52,0,110,U.S. House,2,MEL HALL,D
Wabash,012 - Chester 1,0,0,0,0,U.S. House,2,WRITE-IN,
Wabash,012 - Chester 1,196,117,0,313,State Senate,17,ANDY ZAY,R
Wabash,012 - Chester 1,51,51,0,102,State Senate,17,GARY L. SNYDER,D
Wabash,012 - Chester 1,193,116,0,309,State Representative,18,DAVID A. WOLKINS,R
Wabash,012 - Chester 1,51,49,0,100,State Representative,18,DEE M MOORE,D
Wabash,012 - Chester 1,219,136,0,355,Prosecuting Atty 27th Circuit,,WILLIAM C. HARTLEY JR.,R
Wabash,012 - Chester 1,220,135,0,355,Circuit Court Clerk,,LORI DRAPER,R
Wabash,012 - Chester 1,219,132,0,351,County Recorder,,ERIC RISH,R
Wabash,012 - Chester 1,220,131,0,351,County Sheriff,,RYAN T. BAKER,R
Wabash,012 - Chester 1,223,134,0,357,County Assessor,,KELLY SCHENKEL,R
Wabash,012 - Chester 1,215,131,0,346,County Commissioner District 2,,JEFF DAWES,R
Wabash,012 - Chester 1,213,133,0,346,County Council District 1,,MATTHEW J. MIZE,R
Wabash,012 - Chester 1,222,137,0,359,Chester Township Trustee,,FLORENCE (FLO) DAHLSTROM,R
Wabash,012 - Chester 1,176,114,0,290,Chester Township Board Member,,BRET BECHTOLD,R
Wabash,012 - Chester 1,171,100,0,271,Chester Township Board Member,,WAYNE STEPHAN,R
Wabash,012 - Chester 1,155,95,0,250,Chester Township Board Member,,ROBERT LAMOINE (MOE) THOMAS,R
Wabash,012 - Chester 1,70,53,0,123,Manchester SB Chester Twp,,SALLY KROUSE,
Wabash,012 - Chester 1,155,106,0,261,Manchester SB Chester Twp,,DAVID W. TERFLINGER,
Wabash,012 - Chester 1,53,51,0,104,Manchester SB North Manchester,,MICHAEL DIXON,
Wabash,012 - Chester 1,90,57,0,147,Manchester SB North Manchester,,RICHARD ESPESET,
Wabash,012 - Chester 1,79,48,0,127,Manchester SB North Manchester,,KEVIN WAYNE KLING,
Wabash,012 - Chester 1,89,49,0,138,Manchester SB North Manchester,,AMANDA SHAMBARGER,
Wabash,012 - Chester 1,99,76,0,175,Manchester SB North Manchester,,BENJAMIN D.R. VANDERPOOL,
Wabash,012 - Chester 1,162,101,0,263,IN Supreme Court-Slaughter,,YES,
Wabash,012 - Chester 1,44,37,0,81,IN Supreme Court-Slaughter,,NO,
Wabash,012 - Chester 1,161,103,0,264,Court of Appeals Dist 2-Altice,,YES,
Wabash,012 - Chester 1,46,35,0,81,Court of Appeals Dist 2-Altice,,NO,
Wabash,013 - Chester 2,143,83,0,226,Public Question,,YES,
Wabash,013 - Chester 2,49,38,0,87,Public Question,,NO,
Wabash,013 - Chester 2,39,16,0,55,Public Question-Manchester Schools,,YES,
Wabash,013 - Chester 2,160,111,0,271,Public Question-Manchester Schools,,NO,
Wabash,013 - Chester 2,147,81,0,228,U.S. Senate,,MIKE BRAUN,R
Wabash,013 - Chester 2,41,36,0,77,U.S. Senate,,JOE DONNELLY,D
Wabash,013 - Chester 2,13,7,0,20,U.S. Senate,,LUCY M. BRENTON,L
Wabash,013 - Chester 2,0,2,0,2,U.S. Senate,,WRITE-IN,
Wabash,013 - Chester 2,158,83,0,241,Secretary of State,,CONNIE LAWSON,R
Wabash,013 - Chester 2,30,33,0,63,Secretary of State,,JIM HARPER,D
Wabash,013 - Chester 2,10,9,0,19,Secretary of State,,MARK W. RUTHERFORD,L
Wabash,013 - Chester 2,0,0,0,0,Secretary of State,,WRITE-IN,
Wabash,013 - Chester 2,159,87,0,246,Auditor of State,,TERA KLUTZ,R
Wabash,013 - Chester 2,27,28,0,55,Auditor of State,,JOSELYN WHITTICKER,D
Wabash,013 - Chester 2,10,8,0,18,Auditor of State,,JOHN SCHICK,L
Wabash,013 - Chester 2,168,91,0,259,Treasurer of State,,KELLY MITCHELL,R
Wabash,013 - Chester 2,29,32,0,61,Treasurer of State,,JOHN C. AGUILERA,D
Wabash,013 - Chester 2,158,88,0,246,U.S. House,2,JACKIE WALORSKI,R
Wabash,013 - Chester 2,42,37,0,79,U.S. House,2,MEL HALL,D
Wabash,013 - Chester 2,0,0,0,0,U.S. House,2,WRITE-IN,
Wabash,013 - Chester 2,165,89,0,254,State Senate,17,ANDY ZAY,R
Wabash,013 - Chester 2,31,36,0,67,State Senate,17,GARY L. SNYDER,D
Wabash,013 - Chester 2,161,87,0,248,State Representative,18,DAVID A. WOLKINS,R
Wabash,013 - Chester 2,37,38,0,75,State Representative,18,DEE M MOORE,D
Wabash,013 - Chester 2,178,100,0,278,Prosecuting Atty 27th Circuit,,WILLIAM C. HARTLEY JR.,R
Wabash,013 - Chester 2,181,103,0,284,Circuit Court Clerk,,LORI DRAPER,R
Wabash,013 - Chester 2,182,97,0,279,County Recorder,,ERIC RISH,R
Wabash,013 - Chester 2,184,100,0,284,County Sheriff,,RYAN T. BAKER,R
Wabash,013 - Chester 2,184,104,0,288,County Assessor,,KELLY SCHENKEL,R
Wabash,013 - Chester 2,179,99,0,278,County Commissioner District 2,,JEFF DAWES,R
Wabash,013 - Chester 2,183,101,0,284,County Council District 1,,MATTHEW J. MIZE,R
Wabash,013 - Chester 2,184,101,0,285,Chester Township Trustee,,FLORENCE (FLO) DAHLSTROM,R
Wabash,013 - Chester 2,142,90,0,232,Chester Township Board Member,,BRET BECHTOLD,R
Wabash,013 - Chester 2,100,81,0,181,Chester Township Board Member,,WAYNE STEPHAN,R
Wabash,013 - Chester 2,106,80,0,186,Chester Township Board Member,,ROBERT LAMOINE (MOE) THOMAS,R
Wabash,013 - Chester 2,75,39,0,114,Manchester SB Chester Twp,,SALLY KROUSE,
Wabash,013 - Chester 2,115,78,0,193,Manchester SB Chester Twp,,DAVID W. TERFLINGER,
Wabash,013 - Chester 2,62,40,0,102,Manchester SB North Manchester,,MICHAEL DIXON,
Wabash,013 - Chester 2,65,53,0,118,Manchester SB North Manchester,,RICHARD ESPESET,
Wabash,013 - Chester 2,48,40,0,88,Manchester SB North Manchester,,KEVIN WAYNE KLING,
Wabash,013 - Chester 2,78,27,0,105,Manchester SB North Manchester,,AMANDA SHAMBARGER,
Wabash,013 - Chester 2,76,49,0,125,Manchester SB North Manchester,,BENJAMIN D.R. VANDERPOOL,
Wabash,013 - Chester 2,135,83,0,218,IN Supreme Court-Slaughter,,YES,
Wabash,013 - Chester 2,38,24,0,62,IN Supreme Court-Slaughter,,NO,
Wabash,013 - Chester 2,138,86,0,224,Court of Appeals Dist 2-Altice,,YES,
Wabash,013 - Chester 2,33,20,0,53,Court of Appeals Dist 2-Altice,,NO,
Wabash,014 - Chester 3,212,100,0,312,Public Question,,YES,
Wabash,014 - Chester 3,106,76,0,182,Public Question,,NO,
Wabash,014 - Chester 3,64,38,0,102,Public Question-Manchester Schools,,YES,
Wabash,014 - Chester 3,262,153,0,415,Public Question-Manchester Schools,,NO,
Wabash,014 - Chester 3,191,97,0,288,U.S. Senate,,MIKE BRAUN,R
Wabash,014 - Chester 3,119,86,0,205,U.S. Senate,,JOE DONNELLY,D
Wabash,014 - Chester 3,15,10,0,25,U.S. Senate,,LUCY M. BRENTON,L
Wabash,014 - Chester 3,0,0,0,0,U.S. Senate,,WRITE-IN,
Wabash,014 - Chester 3,212,109,0,321,Secretary of State,,CONNIE LAWSON,R
Wabash,014 - Chester 3,98,73,0,171,Secretary of State,,JIM HARPER,D
Wabash,014 - Chester 3,10,8,0,18,Secretary of State,,MARK W. RUTHERFORD,L
Wabash,014 - Chester 3,1,0,0,1,Secretary of State,,WRITE-IN,
Wabash,014 - Chester 3,207,107,0,314,Auditor of State,,TERA KLUTZ,R
Wabash,014 - Chester 3,105,74,0,179,Auditor of State,,JOSELYN WHITTICKER,D
Wabash,014 - Chester 3,9,8,0,17,Auditor of State,,JOHN SCHICK,L
Wabash,014 - Chester 3,221,113,0,334,Treasurer of State,,KELLY MITCHELL,R
Wabash,014 - Chester 3,101,73,0,174,Treasurer of State,,JOHN C. AGUILERA,D
Wabash,014 - Chester 3,209,100,0,309,U.S. House,2,JACKIE WALORSKI,R
Wabash,014 - Chester 3,115,86,0,201,U.S. House,2,MEL HALL,D
Wabash,014 - Chester 3,0,0,0,0,U.S. House,2,WRITE-IN,
Wabash,014 - Chester 3,211,108,0,319,State Senate,17,ANDY ZAY,R
Wabash,014 - Chester 3,110,80,0,190,State Senate,17,GARY L. SNYDER,D
Wabash,014 - Chester 3,216,113,0,329,State Representative,18,DAVID A. WOLKINS,R
Wabash,014 - Chester 3,104,75,0,179,State Representative,18,DEE M MOORE,D
Wabash,014 - Chester 3,271,146,0,417,Prosecuting Atty 27th Circuit,,WILLIAM C. HARTLEY JR.,R
Wabash,014 - Chester 3,275,145,0,420,Circuit Court Clerk,,LORI DRAPER,R
Wabash,014 - Chester 3,268,147,0,415,County Recorder,,ERIC RISH,R
Wabash,014 - Chester 3,275,152,0,427,County Sheriff,,RYAN T. BAKER,R
Wabash,014 - Chester 3,277,152,0,429,County Assessor,,KELLY SCHENKEL,R
Wabash,014 - Chester 3,274,148,0,422,County Commissioner District 2,,JEFF DAWES,R
Wabash,014 - Chester 3,270,142,0,412,County Council District 1,,MATTHEW J. MIZE,R
Wabash,014 - Chester 3,271,149,0,420,Chester Township Trustee,,FLORENCE (FLO) DAHLSTROM,R
Wabash,014 - Chester 3,207,121,0,328,Chester Township Board Member,,BRET BECHTOLD,R
Wabash,014 - Chester 3,182,104,0,286,Chester Township Board Member,,WAYNE STEPHAN,R
Wabash,014 - Chester 3,168,91,0,259,Chester Township Board Member,,ROBERT LAMOINE (MOE) THOMAS,R
Wabash,014 - Chester 3,121,70,0,191,Manchester SB Chester Twp,,SALLY KROUSE,
Wabash,014 - Chester 3,187,104,0,291,Manchester SB Chester Twp,,DAVID W. TERFLINGER,
Wabash,014 - Chester 3,100,72,0,172,Manchester SB North Manchester,,MICHAEL DIXON,
Wabash,014 - Chester 3,109,74,0,183,Manchester SB North Manchester,,RICHARD ESPESET,
Wabash,014 - Chester 3,91,56,0,147,Manchester SB North Manchester,,KEVIN WAYNE KLING,
Wabash,014 - Chester 3,124,59,0,183,Manchester SB North Manchester,,AMANDA SHAMBARGER,
Wabash,014 - Chester 3,125,65,0,190,Manchester SB North Manchester,,BENJAMIN D.R. VANDERPOOL,
Wabash,014 - Chester 3,221,125,0,346,IN Supreme Court-Slaughter,,YES,
Wabash,014 - Chester 3,71,33,0,104,IN Supreme Court-Slaughter,,NO,
Wabash,014 - Chester 3,221,122,0,343,Court of Appeals Dist 2-Altice,,YES,
Wabash,014 - Chester 3,70,32,0,102,Court of Appeals Dist 2-Altice,,NO,
Wabash,015 - Chester 4,160,71,0,231,Public Question,,YES,
Wabash,015 - Chester 4,103,70,0,173,Public Question,,NO,
Wabash,015 - Chester 4,63,47,0,110,Public Question-Manchester Schools,,YES,
Wabash,015 - Chester 4,210,98,0,308,Public Question-Manchester Schools,,NO,
Wabash,015 - Chester 4,139,64,0,203,U.S. Senate,,MIKE BRAUN,R
Wabash,015 - Chester 4,122,81,0,203,U.S. Senate,,JOE DONNELLY,D
Wabash,015 - Chester 4,19,2,0,21,U.S. Senate,,LUCY M. BRENTON,L
Wabash,015 - Chester 4,0,0,0,0,U.S. Senate,,WRITE-IN,
Wabash,015 - Chester 4,154,73,0,227,Secretary of State,,CONNIE LAWSON,R
Wabash,015 - Chester 4,102,68,0,170,Secretary of State,,JIM HARPER,D
Wabash,015 - Chester 4,21,4,0,25,Secretary of State,,MARK W. RUTHERFORD,L
Wabash,015 - Chester 4,0,0,0,0,Secretary of State,,WRITE-IN,
Wabash,015 - Chester 4,156,74,0,230,Auditor of State,,TERA KLUTZ,R
Wabash,015 - Chester 4,105,68,0,173,Auditor of State,,JOSELYN WHITTICKER,D
Wabash,015 - Chester 4,15,4,0,19,Auditor of State,,JOHN SCHICK,L
Wabash,015 - Chester 4,164,77,0,241,Treasurer of State,,KELLY MITCHELL,R
Wabash,015 - Chester 4,110,69,0,179,Treasurer of State,,JOHN C. AGUILERA,D
Wabash,015 - Chester 4,154,75,0,229,U.S. House,2,JACKIE WALORSKI,R
Wabash,015 - Chester 4,123,73,0,196,U.S. House,2,MEL HALL,D
Wabash,015 - Chester 4,0,0,0,0,U.S. House,2,WRITE-IN,
