candidate,id,office,district,party,county,precinct,election_day,absentee,provisional,votes
Mark W. Rutherford,731,Secretary of State,,L,Warrick,Ohio 15,14,1,0,15
Write in,732,Secretary of State,,,Warrick,Ohio 15,0,0,0,0
Tera Klutz,733,Auditor of State,,R,Warrick,Ohio 15,223,57,0,280
Joselyn Whitticker,734,Auditor of State,,D,Warrick,Ohio 15,140,36,0,176
John Schick,735,Auditor of State,,L,Warrick,Ohio 15,14,1,0,15
Kelly Mitchell,736,Treasurer of State,,R,Warrick,Ohio 15,239,56,0,295
John C. Aguilera,737,Treasurer of State,,D,Warrick,Ohio 15,137,38,0,175
Larry D Bucshon,738,U.S. House,8,R,Warrick,Ohio 15,237,57,0,294
William Tanoos,739,U.S. House,8,D,Warrick,Ohio 15,145,35,0,180
Write in,740,U.S. House,8,,Warrick,Ohio 15,0,1,0,1
Ron Bacon ,741,State Representative,75,R,Warrick,Ohio 15,232,59,0,291
John Hurley ,742,State Representative,75,D,Warrick,Ohio 15,151,34,0,185
,743,Registered Voters,,,Warrick,Ohio 16,,,,476
,744,Ballots Cast,,,Warrick,Ohio 16,203,,,
Mike Braun,745,U.S. Senate,,R,Warrick,Ohio 16,102,25,0,127
Joe Donnelly,746,U.S. Senate,,D,Warrick,Ohio 16,92,28,0,120
Lucy M Brenton,747,U.S. Senate,,L,Warrick,Ohio 16,9,0,0,9
Write in,748,U.S. Senate,,,Warrick,Ohio 16,0,0,0,0
Connie Lawson,749,Secretary of State,,R,Warrick,Ohio 16,107,26,0,133
Jim Harper,750,Secretary of State,,D,Warrick,Ohio 16,86,27,0,113
Mark W. Rutherford,751,Secretary of State,,L,Warrick,Ohio 16,8,0,0,8
Write in,752,Secretary of State,,,Warrick,Ohio 16,0,0,0,0
Tera Klutz,753,Auditor of State,,R,Warrick,Ohio 16,110,25,0,135
Joselyn Whitticker,754,Auditor of State,,D,Warrick,Ohio 16,84,28,0,112
John Schick,755,Auditor of State,,L,Warrick,Ohio 16,8,0,0,8
Kelly Mitchell,756,Treasurer of State,,R,Warrick,Ohio 16,116,26,0,142
John C. Aguilera,757,Treasurer of State,,D,Warrick,Ohio 16,84,27,0,111
Larry D Bucshon,758,U.S. House,8,R,Warrick,Ohio 16,116,25,0,141
William Tanoos,759,U.S. House,8,D,Warrick,Ohio 16,86,28,0,114
Write in,760,U.S. House,8,,Warrick,Ohio 16,0,0,0,0
Ron Bacon ,761,State Representative,75,R,Warrick,Ohio 16,118,26,0,144
John Hurley ,762,State Representative,75,D,Warrick,Ohio 16,83,27,0,110
,763,Registered Voters,,,Warrick,Ohio 17,,,,620
,764,Ballots Cast,,,Warrick,Ohio 17,293,,,
Mike Braun,765,U.S. Senate,,R,Warrick,Ohio 17,144,36,0,180
Joe Donnelly,766,U.S. Senate,,D,Warrick,Ohio 17,133,42,0,175
Lucy M Brenton,767,U.S. Senate,,L,Warrick,Ohio 17,14,4,0,18
Write in,768,U.S. Senate,,,Warrick,Ohio 17,0,0,0,0
Connie Lawson,769,Secretary of State,,R,Warrick,Ohio 17,157,36,0,193
Jim Harper,770,Secretary of State,,D,Warrick,Ohio 17,118,42,0,160
Mark W. Rutherford,771,Secretary of State,,L,Warrick,Ohio 17,14,3,0,17
Write in,772,Secretary of State,,,Warrick,Ohio 17,0,0,0,0
Tera Klutz,773,Auditor of State,,R,Warrick,Ohio 17,161,38,0,199
Joselyn Whitticker,774,Auditor of State,,D,Warrick,Ohio 17,111,38,0,149
John Schick,775,Auditor of State,,L,Warrick,Ohio 17,15,5,0,20
Kelly Mitchell,776,Treasurer of State,,R,Warrick,Ohio 17,165,37,0,202
John C. Aguilera,777,Treasurer of State,,D,Warrick,Ohio 17,123,44,0,167
Larry D Bucshon,778,U.S. House,8,R,Warrick,Ohio 17,174,37,0,211
William Tanoos,779,U.S. House,8,D,Warrick,Ohio 17,119,45,0,164
Write in,780,U.S. House,8,,Warrick,Ohio 17,0,0,0,0
Ron Bacon ,781,State Representative,75,R,Warrick,Ohio 17,168,38,0,206
John Hurley ,782,State Representative,75,D,Warrick,Ohio 17,125,42,0,167
,783,Registered Voters,,,Warrick,Ohio 18,,,,1207
,784,Ballots Cast,,,Warrick,Ohio 18,433,,,
Mike Braun,785,U.S. Senate,,R,Warrick,Ohio 18,269,86,0,355
Joe Donnelly,786,U.S. Senate,,D,Warrick,Ohio 18,147,84,0,231
Lucy M Brenton,787,U.S. Senate,,L,Warrick,Ohio 18,15,2,0,17
Write in,788,U.S. Senate,,,Warrick,Ohio 18,1,0,0,1
Connie Lawson,789,Secretary of State,,R,Warrick,Ohio 18,289,82,0,371
Jim Harper,790,Secretary of State,,D,Warrick,Ohio 18,125,82,0,207
Mark W. Rutherford,791,Secretary of State,,L,Warrick,Ohio 18,15,4,0,19
Write in,792,Secretary of State,,,Warrick,Ohio 18,0,0,0,0
Tera Klutz,793,Auditor of State,,R,Warrick,Ohio 18,288,82,0,370
Joselyn Whitticker,794,Auditor of State,,D,Warrick,Ohio 18,126,83,0,209
John Schick,795,Auditor of State,,L,Warrick,Ohio 18,11,4,0,15
Kelly Mitchell,796,Treasurer of State,,R,Warrick,Ohio 18,295,86,0,381
John C. Aguilera,797,Treasurer of State,,D,Warrick,Ohio 18,128,84,0,212
Larry D Bucshon,798,U.S. House,8,R,Warrick,Ohio 18,292,90,0,382
William Tanoos,799,U.S. House,8,D,Warrick,Ohio 18,138,80,0,218
Write in,800,U.S. House,8,,Warrick,Ohio 18,0,2,0,2
Ron Bacon ,801,State Representative,75,R,Warrick,Ohio 18,283,91,0,374
John Hurley ,802,State Representative,75,D,Warrick,Ohio 18,144,80,0,224
,803,Registered Voters,,,Warrick,Ohio 19,,,,733
,804,Ballots Cast,,,Warrick,Ohio 19,350,,,
Mike Braun,805,U.S. Senate,,R,Warrick,Ohio 19,226,63,0,289
Joe Donnelly,806,U.S. Senate,,D,Warrick,Ohio 19,114,56,0,170
Lucy M Brenton,807,U.S. Senate,,L,Warrick,Ohio 19,9,0,0,9
Write in,808,U.S. Senate,,,Warrick,Ohio 19,0,0,0,0
Connie Lawson,809,Secretary of State,,R,Warrick,Ohio 19,240,68,0,308
Jim Harper,810,Secretary of State,,D,Warrick,Ohio 19,91,50,0,141
Mark W. Rutherford,811,Secretary of State,,L,Warrick,Ohio 19,12,0,0,12
Write in,812,Secretary of State,,,Warrick,Ohio 19,0,0,0,0
Tera Klutz,813,Auditor of State,,R,Warrick,Ohio 19,232,65,0,297
Joselyn Whitticker,814,Auditor of State,,D,Warrick,Ohio 19,96,48,0,144
John Schick,815,Auditor of State,,L,Warrick,Ohio 19,11,4,0,15
Kelly Mitchell,816,Treasurer of State,,R,Warrick,Ohio 19,254,71,0,325
John C. Aguilera,817,Treasurer of State,,D,Warrick,Ohio 19,82,47,0,129
Larry D Bucshon,818,U.S. House,8,R,Warrick,Ohio 19,254,65,0,319
William Tanoos,819,U.S. House,8,D,Warrick,Ohio 19,94,54,0,148
Write in,820,U.S. House,8,,Warrick,Ohio 19,0,0,0,0
Ron Bacon ,821,State Representative,75,R,Warrick,Ohio 19,250,69,0,319
John Hurley ,822,State Representative,75,D,Warrick,Ohio 19,95,50,0,145
,823,Registered Voters,,,Warrick,Ohio 20,,,,1125
,824,Ballots Cast,,,Warrick,Ohio 20,486,,,
Mike Braun,825,U.S. Senate,,R,Warrick,Ohio 20,278,110,0,388
Joe Donnelly,826,U.S. Senate,,D,Warrick,Ohio 20,186,65,0,251
Lucy M Brenton,827,U.S. Senate,,L,Warrick,Ohio 20,18,3,0,21
Write in,828,U.S. Senate,,,Warrick,Ohio 20,0,0,0,0
Connie Lawson,829,Secretary of State,,R,Warrick,Ohio 20,298,112,0,410
Jim Harper,830,Secretary of State,,D,Warrick,Ohio 20,163,63,0,226
Mark W. Rutherford,831,Secretary of State,,L,Warrick,Ohio 20,13,2,0,15
Write in,832,Secretary of State,,,Warrick,Ohio 20,0,0,0,0
Tera Klutz,833,Auditor of State,,R,Warrick,Ohio 20,285,108,0,393
Joselyn Whitticker,834,Auditor of State,,D,Warrick,Ohio 20,176,63,0,239
John Schick,835,Auditor of State,,L,Warrick,Ohio 20,13,4,0,17
Kelly Mitchell,836,Treasurer of State,,R,Warrick,Ohio 20,314,111,0,425
John C. Aguilera,837,Treasurer of State,,D,Warrick,Ohio 20,159,64,0,223
Larry D Bucshon,838,U.S. House,8,R,Warrick,Ohio 20,304,107,0,411
William Tanoos,839,U.S. House,8,D,Warrick,Ohio 20,174,69,0,243
Write in,840,U.S. House,8,,Warrick,Ohio 20,0,0,0,0
Holli Sullivan,841,State Representative,78,R,Warrick,Ohio 20,368,132,0,500
No Candidate Filed,842,State Representative,78,D,Warrick,Ohio 20,0,0,0,0
,843,Registered Voters,,,Warrick,Ohio 21,,,,1316
,844,Ballots Cast,,,Warrick,Ohio 21,476,,,
Mike Braun,845,U.S. Senate,,R,Warrick,Ohio 21,288,161,0,449
Joe Donnelly,846,U.S. Senate,,D,Warrick,Ohio 21,172,86,0,258
Lucy M Brenton,847,U.S. Senate,,L,Warrick,Ohio 21,10,1,0,11
Write in,848,U.S. Senate,,,Warrick,Ohio 21,0,0,0,0
Connie Lawson,849,Secretary of State,,R,Warrick,Ohio 21,304,165,0,469
Jim Harper,850,Secretary of State,,D,Warrick,Ohio 21,158,81,0,239
Mark W. Rutherford,851,Secretary of State,,L,Warrick,Ohio 21,5,1,0,6
Write in,852,Secretary of State,,,Warrick,Ohio 21,0,0,0,0
Tera Klutz,853,Auditor of State,,R,Warrick,Ohio 21,303,163,0,466
Joselyn Whitticker,854,Auditor of State,,D,Warrick,Ohio 21,155,81,0,236
John Schick,855,Auditor of State,,L,Warrick,Ohio 21,7,2,0,9
Kelly Mitchell,856,Treasurer of State,,R,Warrick,Ohio 21,315,166,0,481
John C. Aguilera,857,Treasurer of State,,D,Warrick,Ohio 21,153,80,0,233
Larry D Bucshon,858,U.S. House,8,R,Warrick,Ohio 21,313,164,0,477
William Tanoos,859,U.S. House,8,D,Warrick,Ohio 21,157,80,0,237
Write in,860,U.S. House,8,,Warrick,Ohio 21,0,0,0,0
Holli Sullivan,861,State Representative,78,R,Warrick,Ohio 21,381,181,0,562
No Candidate Filed,862,State Representative,78,D,Warrick,Ohio 21,0,0,0,0
,863,Registered Voters,,,Warrick,Ohio 22,,,,362
,864,Ballots Cast,,,Warrick,Ohio 22,183,,,
Mike Braun,865,U.S. Senate,,R,Warrick,Ohio 22,99,9,0,108
Joe Donnelly,866,U.S. Senate,,D,Warrick,Ohio 22,70,20,0,90
Lucy M Brenton,867,U.S. Senate,,L,Warrick,Ohio 22,11,0,0,11
Write in,868,U.S. Senate,,,Warrick,Ohio 22,1,0,0,1
Connie Lawson,869,Secretary of State,,R,Warrick,Ohio 22,108,11,0,119
Jim Harper,870,Secretary of State,,D,Warrick,Ohio 22,64,20,0,84
Mark W. Rutherford,871,Secretary of State,,L,Warrick,Ohio 22,5,0,0,5
Write in,872,Secretary of State,,,Warrick,Ohio 22,0,0,0,0
Tera Klutz,873,Auditor of State,,R,Warrick,Ohio 22,105,12,0,117
Joselyn Whitticker,874,Auditor of State,,D,Warrick,Ohio 22,67,19,0,86
John Schick,875,Auditor of State,,L,Warrick,Ohio 22,5,0,0,5
Kelly Mitchell,876,Treasurer of State,,R,Warrick,Ohio 22,110,11,0,121
John C. Aguilera,877,Treasurer of State,,D,Warrick,Ohio 22,64,20,0,84
Larry D Bucshon,878,U.S. House,8,R,Warrick,Ohio 22,114,10,0,124
William Tanoos,879,U.S. House,8,D,Warrick,Ohio 22,65,20,0,85
Write in,880,U.S. House,8,,Warrick,Ohio 22,0,0,0,0
Holli Sullivan,881,State Representative,78,R,Warrick,Ohio 22,144,15,0,159
No Candidate Filed,882,State Representative,78,D,Warrick,Ohio 22,0,0,0,0
,883,Registered Voters,,,Warrick,Ohio 23,,,,1090
,884,Ballots Cast,,,Warrick,Ohio 23,385,,,
Mike Braun,885,U.S. Senate,,R,Warrick,Ohio 23,214,102,0,316
Joe Donnelly,886,U.S. Senate,,D,Warrick,Ohio 23,159,70,0,229
Lucy M Brenton,887,U.S. Senate,,L,Warrick,Ohio 23,9,2,0,11
Write in,888,U.S. Senate,,,Warrick,Ohio 23,0,0,0,0
Connie Lawson,889,Secretary of State,,R,Warrick,Ohio 23,232,107,0,339
Jim Harper,890,Secretary of State,,D,Warrick,Ohio 23,139,66,0,205
Mark W. Rutherford,891,Secretary of State,,L,Warrick,Ohio 23,7,0,0,7
Write in,892,Secretary of State,,,Warrick,Ohio 23,0,0,0,0
Tera Klutz,893,Auditor of State,,R,Warrick,Ohio 23,232,108,0,340
Joselyn Whitticker,894,Auditor of State,,D,Warrick,Ohio 23,138,65,0,203
John Schick,895,Auditor of State,,L,Warrick,Ohio 23,7,0,0,7
Kelly Mitchell,896,Treasurer of State,,R,Warrick,Ohio 23,246,107,0,353
John C. Aguilera,897,Treasurer of State,,D,Warrick,Ohio 23,132,68,0,200
Larry D Bucshon,898,U.S. House,8,R,Warrick,Ohio 23,238,105,0,343
William Tanoos,899,U.S. House,8,D,Warrick,Ohio 23,143,68,0,211
Write in,900,U.S. House,8,,Warrick,Ohio 23,0,0,0,0
Ron Bacon ,901,State Representative,75,R,Warrick,Ohio 23,235,104,0,339
John Hurley ,902,State Representative,75,D,Warrick,Ohio 23,143,71,0,214
,903,Registered Voters,,,Warrick,Ohio 24,,,,670
,904,Ballots Cast,,,Warrick,Ohio 24,273,,,
Mike Braun,905,U.S. Senate,,R,Warrick,Ohio 24,165,57,0,222
Joe Donnelly,906,U.S. Senate,,D,Warrick,Ohio 24,95,58,0,153
Lucy M Brenton,907,U.S. Senate,,L,Warrick,Ohio 24,11,5,0,16
Write in,908,U.S. Senate,,,Warrick,Ohio 24,0,0,0,0
Connie Lawson,909,Secretary of State,,R,Warrick,Ohio 24,188,59,0,247
Jim Harper,910,Secretary of State,,D,Warrick,Ohio 24,72,58,0,130
Mark W. Rutherford,911,Secretary of State,,L,Warrick,Ohio 24,9,3,0,12
Write in,912,Secretary of State,,,Warrick,Ohio 24,0,0,0,0
Tera Klutz,913,Auditor of State,,R,Warrick,Ohio 24,176,60,0,236
Joselyn Whitticker,914,Auditor of State,,D,Warrick,Ohio 24,80,56,0,136
John Schick,915,Auditor of State,,L,Warrick,Ohio 24,10,2,0,12
Kelly Mitchell,916,Treasurer of State,,R,Warrick,Ohio 24,194,65,0,259
John C. Aguilera,917,Treasurer of State,,D,Warrick,Ohio 24,72,55,0,127
Larry D Bucshon,918,U.S. House,8,R,Warrick,Ohio 24,191,67,0,258
William Tanoos,919,U.S. House,8,D,Warrick,Ohio 24,80,55,0,135
Write in,920,U.S. House,8,,Warrick,Ohio 24,0,0,0,0
Ron Bacon ,921,State Representative,75,R,Warrick,Ohio 24,185,64,0,249
John Hurley ,922,State Representative,75,D,Warrick,Ohio 24,85,58,0,143
,923,Registered Voters,,,Warrick,Ohio 25,,,,692
,924,Ballots Cast,,,Warrick,Ohio 25,273,,,
Mike Braun,925,U.S. Senate,,R,Warrick,Ohio 25,186,77,0,263
Joe Donnelly,926,U.S. Senate,,D,Warrick,Ohio 25,79,44,0,123
Lucy M Brenton,927,U.S. Senate,,L,Warrick,Ohio 25,5,6,0,11
Write in,928,U.S. Senate,,,Warrick,Ohio 25,0,0,0,0
Connie Lawson,929,Secretary of State,,R,Warrick,Ohio 25,190,77,0,267
Jim Harper,930,Secretary of State,,D,Warrick,Ohio 25,70,46,0,116
Mark W. Rutherford,931,Secretary of State,,L,Warrick,Ohio 25,8,2,0,10
Write in,932,Secretary of State,,,Warrick,Ohio 25,0,0,0,0
Tera Klutz,933,Auditor of State,,R,Warrick,Ohio 25,185,75,0,260
Joselyn Whitticker,934,Auditor of State,,D,Warrick,Ohio 25,71,47,0,118
John Schick,935,Auditor of State,,L,Warrick,Ohio 25,9,1,0,10
Kelly Mitchell,936,Treasurer of State,,R,Warrick,Ohio 25,198,83,0,281
John C. Aguilera,937,Treasurer of State,,D,Warrick,Ohio 25,72,43,0,115
Larry D Bucshon,938,U.S. House,8,R,Warrick,Ohio 25,195,80,0,275
William Tanoos,939,U.S. House,8,D,Warrick,Ohio 25,73,45,0,118
Write in,940,U.S. House,8,,Warrick,Ohio 25,0,0,0,0
Ron Bacon ,941,State Representative,75,R,Warrick,Ohio 25,179,80,0,259
John Hurley ,942,State Representative,75,D,Warrick,Ohio 25,90,46,0,136
,943,Registered Voters,,,Warrick,Ohio 26,,,,1310
,944,Ballots Cast,,,Warrick,Ohio 26,527,,,
Mike Braun,945,U.S. Senate,,R,Warrick,Ohio 26,330,82,0,412
Joe Donnelly,946,U.S. Senate,,D,Warrick,Ohio 26,181,70,0,251
Lucy M Brenton,947,U.S. Senate,,L,Warrick,Ohio 26,12,1,0,13
Write in,948,U.S. Senate,,,Warrick,Ohio 26,0,0,0,0
Connie Lawson,949,Secretary of State,,R,Warrick,Ohio 26,339,85,0,424
Jim Harper,950,Secretary of State,,D,Warrick,Ohio 26,166,61,0,227
Mark W. Rutherford,951,Secretary of State,,L,Warrick,Ohio 26,13,4,0,17
Write in,952,Secretary of State,,,Warrick,Ohio 26,0,0,0,0
Tera Klutz,953,Auditor of State,,R,Warrick,Ohio 26,332,82,0,414
Joselyn Whitticker,954,Auditor of State,,D,Warrick,Ohio 26,165,63,0,228
John Schick,955,Auditor of State,,L,Warrick,Ohio 26,14,3,0,17
Kelly Mitchell,956,Treasurer of State,,R,Warrick,Ohio 26,351,87,0,438
John C. Aguilera,957,Treasurer of State,,D,Warrick,Ohio 26,162,60,0,222
Larry D Bucshon,958,U.S. House,8,R,Warrick,Ohio 26,350,87,0,437
William Tanoos,959,U.S. House,8,D,Warrick,Ohio 26,169,65,0,234
Write in,960,U.S. House,8,,Warrick,Ohio 26,0,0,0,0
Ron Bacon ,961,State Representative,75,R,Warrick,Ohio 26,350,86,0,436
John Hurley ,962,State Representative,75,D,Warrick,Ohio 26,170,65,0,235
,963,Registered Voters,,,Warrick,Ohio 27,,,,784
,964,Ballots Cast,,,Warrick,Ohio 27,339,,,
Mike Braun,965,U.S. Senate,,R,Warrick,Ohio 27,196,76,0,272
Joe Donnelly,966,U.S. Senate,,D,Warrick,Ohio 27,123,44,0,167
Lucy M Brenton,967,U.S. Senate,,L,Warrick,Ohio 27,19,3,0,22
Write in,968,U.S. Senate,,,Warrick,Ohio 27,0,0,0,0
Connie Lawson,969,Secretary of State,,R,Warrick,Ohio 27,208,81,0,289
Jim Harper,970,Secretary of State,,D,Warrick,Ohio 27,115,36,0,151
Mark W. Rutherford,971,Secretary of State,,L,Warrick,Ohio 27,9,2,0,11
Write in,972,Secretary of State,,,Warrick,Ohio 27,1,0,0,1
Tera Klutz,973,Auditor of State,,R,Warrick,Ohio 27,207,82,0,289
Joselyn Whitticker,974,Auditor of State,,D,Warrick,Ohio 27,117,34,0,151
John Schick,975,Auditor of State,,L,Warrick,Ohio 27,7,3,0,10
Kelly Mitchell,976,Treasurer of State,,R,Warrick,Ohio 27,217,85,0,302
John C. Aguilera,977,Treasurer of State,,D,Warrick,Ohio 27,115,35,0,150
Larry D Bucshon,978,U.S. House,8,R,Warrick,Ohio 27,212,80,0,292
William Tanoos,979,U.S. House,8,D,Warrick,Ohio 27,123,41,0,164
Write in,980,U.S. House,8,,Warrick,Ohio 27,0,0,0,0
Ron Bacon ,981,State Representative,75,R,Warrick,Ohio 27,215,76,0,291
John Hurley ,982,State Representative,75,D,Warrick,Ohio 27,119,46,0,165
,983,Registered Voters,,,Warrick,Ohio 28,,,,890
,984,Ballots Cast,,,Warrick,Ohio 28,400,,,
Mike Braun,985,U.S. Senate,,R,Warrick,Ohio 28,249,48,0,297
Joe Donnelly,986,U.S. Senate,,D,Warrick,Ohio 28,139,38,0,177
Lucy M Brenton,987,U.S. Senate,,L,Warrick,Ohio 28,10,3,0,13
Write in,988,U.S. Senate,,,Warrick,Ohio 28,0,0,0,0
Connie Lawson,989,Secretary of State,,R,Warrick,Ohio 28,267,50,0,317
Jim Harper,990,Secretary of State,,D,Warrick,Ohio 28,119,36,0,155
Mark W. Rutherford,991,Secretary of State,,L,Warrick,Ohio 28,10,1,0,11
Write in,992,Secretary of State,,,Warrick,Ohio 28,0,0,0,0
Tera Klutz,993,Auditor of State,,R,Warrick,Ohio 28,267,47,0,314
Joselyn Whitticker,994,Auditor of State,,D,Warrick,Ohio 28,115,38,0,153
John Schick,995,Auditor of State,,L,Warrick,Ohio 28,10,1,0,11
Kelly Mitchell,996,Treasurer of State,,R,Warrick,Ohio 28,281,50,0,331
John C. Aguilera,997,Treasurer of State,,D,Warrick,Ohio 28,113,35,0,148
Larry D Bucshon,998,U.S. House,8,R,Warrick,Ohio 28,275,52,0,327
William Tanoos,999,U.S. House,8,D,Warrick,Ohio 28,123,37,0,160
Write in,1000,U.S. House,8,,Warrick,Ohio 28,0,0,0,0
Holli Sullivan,1001,State Representative,78,R,Warrick,Ohio 28,323,58,0,381
No Candidate Filed,1002,State Representative,78,D,Warrick,Ohio 28,0,0,0,0
,1003,Registered Voters,,,Warrick,Ohio 29,,,,946
,1004,Ballots Cast,,,Warrick,Ohio 29,386,,,
Mike Braun,1005,U.S. Senate,,R,Warrick,Ohio 29,265,72,0,337
Joe Donnelly,1006,U.S. Senate,,D,Warrick,Ohio 29,115,73,0,188
Lucy M Brenton,1007,U.S. Senate,,L,Warrick,Ohio 29,4,2,0,6
Write in,1008,U.S. Senate,,,Warrick,Ohio 29,0,0,0,0
Connie Lawson,1009,Secretary of State,,R,Warrick,Ohio 29,275,74,0,349
Jim Harper,1010,Secretary of State,,D,Warrick,Ohio 29,98,69,0,167
Mark W. Rutherford,1011,Secretary of State,,L,Warrick,Ohio 29,6,5,0,11
Write in,1012,Secretary of State,,,Warrick,Ohio 29,0,0,0,0
Tera Klutz,1013,Auditor of State,,R,Warrick,Ohio 29,273,73,0,346
Joselyn Whitticker,1014,Auditor of State,,D,Warrick,Ohio 29,96,68,0,164
John Schick,1015,Auditor of State,,L,Warrick,Ohio 29,5,6,0,11
Kelly Mitchell,1016,Treasurer of State,,R,Warrick,Ohio 29,285,78,0,363
John C. Aguilera,1017,Treasurer of State,,D,Warrick,Ohio 29,93,67,0,160
Larry D Bucshon,1018,U.S. House,8,R,Warrick,Ohio 29,289,78,0,367
William Tanoos,1019,U.S. House,8,D,Warrick,Ohio 29,95,70,0,165
Write in,1020,U.S. House,8,,Warrick,Ohio 29,0,0,0,0
Ron Bacon ,1021,State Representative,75,R,Warrick,Ohio 29,277,74,0,351
John Hurley ,1022,State Representative,75,D,Warrick,Ohio 29,105,73,0,178
,1023,Registered Voters,,,Warrick,Ohio 30,,,,419
,1024,Ballots Cast,,,Warrick,Ohio 30,196,,,
Mike Braun,1025,U.S. Senate,,R,Warrick,Ohio 30,130,33,0,163
Joe Donnelly,1026,U.S. Senate,,D,Warrick,Ohio 30,61,32,0,93
Lucy M Brenton,1027,U.S. Senate,,L,Warrick,Ohio 30,5,1,0,6
Write in,1028,U.S. Senate,,,Warrick,Ohio 30,0,0,0,0
Connie Lawson,1029,Secretary of State,,R,Warrick,Ohio 30,135,33,0,168
Jim Harper,1030,Secretary of State,,D,Warrick,Ohio 30,51,30,0,81
Mark W. Rutherford,1031,Secretary of State,,L,Warrick,Ohio 30,6,1,0,7
Write in,1032,Secretary of State,,,Warrick,Ohio 30,0,0,0,0
Tera Klutz,1033,Auditor of State,,R,Warrick,Ohio 30,135,35,0,170
Joselyn Whitticker,1034,Auditor of State,,D,Warrick,Ohio 30,52,29,0,81
John Schick,1035,Auditor of State,,L,Warrick,Ohio 30,4,1,0,5
Kelly Mitchell,1036,Treasurer of State,,R,Warrick,Ohio 30,140,34,0,174
John C. Aguilera,1037,Treasurer of State,,D,Warrick,Ohio 30,51,31,0,82
Larry D Bucshon,1038,U.S. House,8,R,Warrick,Ohio 30,142,34,0,176
William Tanoos,1039,U.S. House,8,D,Warrick,Ohio 30,52,32,0,84
Write in,1040,U.S. House,8,,Warrick,Ohio 30,0,0,0,0
Ron Bacon ,1041,State Representative,75,R,Warrick,Ohio 30,143,34,0,177
John Hurley ,1042,State Representative,75,D,Warrick,Ohio 30,50,31,0,81
,1043,Registered Voters,,,Warrick,Ohio 31,,,,1371
,1044,Ballots Cast,,,Warrick,Ohio 31,516,,,
Mike Braun,1045,U.S. Senate,,R,Warrick,Ohio 31,305,122,0,427
Joe Donnelly,1046,U.S. Senate,,D,Warrick,Ohio 31,190,84,0,274
Lucy M Brenton,1047,U.S. Senate,,L,Warrick,Ohio 31,16,5,0,21
Write in,1048,U.S. Senate,,,Warrick,Ohio 31,0,0,0,0
Connie Lawson,1049,Secretary of State,,R,Warrick,Ohio 31,327,127,0,454
Jim Harper,1050,Secretary of State,,D,Warrick,Ohio 31,168,76,0,244
Mark W. Rutherford,1051,Secretary of State,,L,Warrick,Ohio 31,12,4,0,16
Write in,1052,Secretary of State,,,Warrick,Ohio 31,1,0,0,1
Tera Klutz,1053,Auditor of State,,R,Warrick,Ohio 31,320,123,0,443
Joselyn Whitticker,1054,Auditor of State,,D,Warrick,Ohio 31,169,79,0,248
John Schick,1055,Auditor of State,,L,Warrick,Ohio 31,16,4,0,20
Kelly Mitchell,1056,Treasurer of State,,R,Warrick,Ohio 31,346,132,0,478
John C. Aguilera,1057,Treasurer of State,,D,Warrick,Ohio 31,162,75,0,237
Larry D Bucshon,1058,U.S. House,8,R,Warrick,Ohio 31,341,136,0,477
William Tanoos,1059,U.S. House,8,D,Warrick,Ohio 31,170,75,0,245
Write in,1060,U.S. House,8,,Warrick,Ohio 31,0,0,0,0
Holli Sullivan,1061,State Representative,78,R,Warrick,Ohio 31,397,152,0,549
No Candidate Filed,1062,State Representative,78,D,Warrick,Ohio 31,0,0,0,0
,1063,Registered Voters,,,Warrick,Ohio 32,,,,771
,1064,Ballots Cast,,,Warrick,Ohio 32,347,,,
Mike Braun,1065,U.S. Senate,,R,Warrick,Ohio 32,219,44,0,263
Joe Donnelly,1066,U.S. Senate,,D,Warrick,Ohio 32,119,59,0,178
Lucy M Brenton,1067,U.S. Senate,,L,Warrick,Ohio 32,7,2,0,9
Write in,1068,U.S. Senate,,,Warrick,Ohio 32,0,0,0,0
Connie Lawson,1069,Secretary of State,,R,Warrick,Ohio 32,230,49,0,279
Jim Harper,1070,Secretary of State,,D,Warrick,Ohio 32,103,53,0,156
Mark W. Rutherford,1071,Secretary of State,,L,Warrick,Ohio 32,9,3,0,12
Write in,1072,Secretary of State,,,Warrick,Ohio 32,0,0,0,0
Tera Klutz,1073,Auditor of State,,R,Warrick,Ohio 32,225,45,0,270
Joselyn Whitticker,1074,Auditor of State,,D,Warrick,Ohio 32,105,57,0,162
John Schick,1075,Auditor of State,,L,Warrick,Ohio 32,8,2,0,10
Kelly Mitchell,1076,Treasurer of State,,R,Warrick,Ohio 32,236,47,0,283
John C. Aguilera,1077,Treasurer of State,,D,Warrick,Ohio 32,104,58,0,162
Larry D Bucshon,1078,U.S. House,8,R,Warrick,Ohio 32,240,45,0,285
William Tanoos,1079,U.S. House,8,D,Warrick,Ohio 32,104,60,0,164
Write in,1080,U.S. House,8,,Warrick,Ohio 32,0,0,0,0
Holli Sullivan,1081,State Representative,78,R,Warrick,Ohio 32,286,65,0,351
No Candidate Filed,1082,State Representative,78,D,Warrick,Ohio 32,0,0,0,0
,1083,Registered Voters,,,Warrick,Ohio 33,,,,840
,1084,Ballots Cast,,,Warrick,Ohio 33,347,,,
Mike Braun,1085,U.S. Senate,,R,Warrick,Ohio 33,222,81,0,303
Joe Donnelly,1086,U.S. Senate,,D,Warrick,Ohio 33,117,64,0,181
Lucy M Brenton,1087,U.S. Senate,,L,Warrick,Ohio 33,5,2,0,7
