candidate,office,district,party,county,precinct,votes,,,
,Ballots Cast,,,Hancock,FORTVILLE 2,675,,,
,Straight Party,,R,Hancock,FORTVILLE 2,213,,,
,Straight Party,,D,Hancock,FORTVILLE 2,72,,,
,Straight Party,,L,Hancock,FORTVILLE 2,2,,,
Mike Braun,U.S. Senate,,R,Hancock,FORTVILLE 2,404,,,
Joe Donnelly,U.S. Senate,,D,Hancock,FORTVILLE 2,218,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,FORTVILLE 2,46,,,
Write in,U.S. Senate,,,Hancock,FORTVILLE 2,2,,,
Connie Lawson,Secretary of State,,R,Hancock,FORTVILLE 2,458,,,
Jim Harper,Secretary of State,,D,Hancock,FORTVILLE 2,190,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,FORTVILLE 2,26,,,
Write in,Secretary of State,,,Hancock,FORTVILLE 2,0,,,
Tera Klutz,Auditor of State,,R,Hancock,FORTVILLE 2,438,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,FORTVILLE 2,194,,,
John Schick,Auditor of State,,L,Hancock,FORTVILLE 2,33,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,FORTVILLE 2,461,,,
John C. Aguilera,Treasurer of State,,D,Hancock,FORTVILLE 2,199,,,
Greg Pence,US House,,R,Hancock,FORTVILLE 2,434,,,
Jeannine Lee Lake,US House,,D,Hancock,FORTVILLE 2,209,,,
Tom Ferkinhoff,US House,,L,Hancock,FORTVILLE 2,28,,,
Write in,US House,,,Hancock,FORTVILLE 2,0,,,
Brian C. Bosma,State Representative,88,R,Hancock,FORTVILLE 2,428,,,
Poonam Gill,State Representative,88,D,Hancock,FORTVILLE 2,242,,,
,Registered Voters,,,Hancock,G-1 NORTH,1040,,,
,Ballots Cast,,,Hancock,G-1 NORTH,565,,,
,Straight Party,,R,Hancock,G-1 NORTH,206,,,
,Straight Party,,D,Hancock,G-1 NORTH,75,,,
,Straight Party,,L,Hancock,G-1 NORTH,1,,,
Mike Braun,U.S. Senate,,R,Hancock,G-1 NORTH,334,,,
Joe Donnelly,U.S. Senate,,D,Hancock,G-1 NORTH,201,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,G-1 NORTH,26,,,
Write in,U.S. Senate,,,Hancock,G-1 NORTH,0,,,
Connie Lawson,Secretary of State,,R,Hancock,G-1 NORTH,372,,,
Jim Harper,Secretary of State,,D,Hancock,G-1 NORTH,167,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,G-1 NORTH,18,,,
Write in,Secretary of State,,,Hancock,G-1 NORTH,0,,,
Tera Klutz,Auditor of State,,R,Hancock,G-1 NORTH,362,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,G-1 NORTH,158,,,
John Schick,Auditor of State,,L,Hancock,G-1 NORTH,32,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,G-1 NORTH,378,,,
John C. Aguilera,Treasurer of State,,D,Hancock,G-1 NORTH,170,,,
Greg Pence,US House,,R,Hancock,G-1 NORTH,355,,,
Jeannine Lee Lake,US House,,D,Hancock,G-1 NORTH,192,,,
Tom Ferkinhoff,US House,,L,Hancock,G-1 NORTH,13,,,
Write in,US House,,,Hancock,G-1 NORTH,0,,,
"Robert ""Bob"" Cherry ",State Representative,53,R,Hancock,G-1 NORTH,367,,,
Nancy Tibbett,State Representative,53,D,Hancock,G-1 NORTH,186,,,
,Registered Voters,,,Hancock,G-1 SOUTH,1439,,,
,Ballots Cast,,,Hancock,G-1 SOUTH,698,,,
,Straight Party,,R,Hancock,G-1 SOUTH,237,,,
,Straight Party,,D,Hancock,G-1 SOUTH,93,,,
,Straight Party,,L,Hancock,G-1 SOUTH,0,,,
Mike Braun,U.S. Senate,,R,Hancock,G-1 SOUTH,442,,,
Joe Donnelly,U.S. Senate,,D,Hancock,G-1 SOUTH,222,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,G-1 SOUTH,25,,,
Write in,U.S. Senate,,,Hancock,G-1 SOUTH,0,,,
Connie Lawson,Secretary of State,,R,Hancock,G-1 SOUTH,471,,,
Jim Harper,Secretary of State,,D,Hancock,G-1 SOUTH,193,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,G-1 SOUTH,18,,,
Write in,Secretary of State,,,Hancock,G-1 SOUTH,0,,,
Tera Klutz,Auditor of State,,R,Hancock,G-1 SOUTH,462,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,G-1 SOUTH,199,,,
John Schick,Auditor of State,,L,Hancock,G-1 SOUTH,20,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,G-1 SOUTH,480,,,
John C. Aguilera,Treasurer of State,,D,Hancock,G-1 SOUTH,193,,,
Greg Pence,US House,,R,Hancock,G-1 SOUTH,451,,,
Jeannine Lee Lake,US House,,D,Hancock,G-1 SOUTH,216,,,
Tom Ferkinhoff,US House,,L,Hancock,G-1 SOUTH,19,,,
Write in,US House,,,Hancock,G-1 SOUTH,0,,,
"Robert ""Bob"" Cherry ",State Representative,53,R,Hancock,G-1 SOUTH,472,,,
Nancy Tibbett,State Representative,53,D,Hancock,G-1 SOUTH,213,,,
,Registered Voters,,,Hancock,G-1 EAST,1612,,,
,Ballots Cast,,,Hancock,G-1 EAST,896,,,
,Straight Party,,R,Hancock,G-1 EAST,334,,,
,Straight Party,,D,Hancock,G-1 EAST,97,,,
,Straight Party,,L,Hancock,G-1 EAST,4,,,
Mike Braun,U.S. Senate,,R,Hancock,G-1 EAST,558,,,
Joe Donnelly,U.S. Senate,,D,Hancock,G-1 EAST,285,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,G-1 EAST,46,,,
Write in,U.S. Senate,,,Hancock,G-1 EAST,1,,,
Connie Lawson,Secretary of State,,R,Hancock,G-1 EAST,611,,,
Jim Harper,Secretary of State,,D,Hancock,G-1 EAST,231,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,G-1 EAST,37,,,
Write in,Secretary of State,,,Hancock,G-1 EAST,2,,,
Tera Klutz,Auditor of State,,R,Hancock,G-1 EAST,589,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,G-1 EAST,247,,,
John Schick,Auditor of State,,L,Hancock,G-1 EAST,45,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,G-1 EAST,627,,,
John C. Aguilera,Treasurer of State,,D,Hancock,G-1 EAST,242,,,
Greg Pence,US House,,R,Hancock,G-1 EAST,575,,,
Jeannine Lee Lake,US House,,D,Hancock,G-1 EAST,271,,,
Tom Ferkinhoff,US House,,L,Hancock,G-1 EAST,39,,,
Write in,US House,,,Hancock,G-1 EAST,2,,,
"Robert ""Bob"" Cherry ",State Representative,53,R,Hancock,G-1 EAST,612,,,
Nancy Tibbett,State Representative,53,D,Hancock,G-1 EAST,270,,,
,Registered Voters,,,Hancock,G-2 NORTH,905,,,
,Ballots Cast,,,Hancock,G-2 NORTH,533,,,
,Straight Party,,R,Hancock,G-2 NORTH,116,,,
,Straight Party,,D,Hancock,G-2 NORTH,68,,,
,Straight Party,,L,Hancock,G-2 NORTH,0,,,
Mike Braun,U.S. Senate,,R,Hancock,G-2 NORTH,289,,,
Joe Donnelly,U.S. Senate,,D,Hancock,G-2 NORTH,216,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,G-2 NORTH,24,,,
Write in,U.S. Senate,,,Hancock,G-2 NORTH,1,,,
Connie Lawson,Secretary of State,,R,Hancock,G-2 NORTH,351,,,
Jim Harper,Secretary of State,,D,Hancock,G-2 NORTH,153,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,G-2 NORTH,18,,,
Write in,Secretary of State,,,Hancock,G-2 NORTH,0,,,
Tera Klutz,Auditor of State,,R,Hancock,G-2 NORTH,336,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,G-2 NORTH,164,,,
John Schick,Auditor of State,,L,Hancock,G-2 NORTH,20,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,G-2 NORTH,351,,,
John C. Aguilera,Treasurer of State,,D,Hancock,G-2 NORTH,163,,,
Greg Pence,US House,,R,Hancock,G-2 NORTH,308,,,
Jeannine Lee Lake,US House,,D,Hancock,G-2 NORTH,200,,,
Tom Ferkinhoff,US House,,L,Hancock,G-2 NORTH,18,,,
Write in,US House,,,Hancock,G-2 NORTH,1,,,
"Robert ""Bob"" Cherry ",State Representative,53,R,Hancock,G-2 NORTH,359,,,
Nancy Tibbett,State Representative,53,D,Hancock,G-2 NORTH,164,,,
,Registered Voters,,,Hancock,G-2 SOUTH,1294,,,
,Ballots Cast,,,Hancock,G-2 SOUTH,626,,,
,Straight Party,,R,Hancock,G-2 SOUTH,217,,,
,Straight Party,,D,Hancock,G-2 SOUTH,76,,,
,Straight Party,,L,Hancock,G-2 SOUTH,1,,,
Mike Braun,U.S. Senate,,R,Hancock,G-2 SOUTH,394,,,
Joe Donnelly,U.S. Senate,,D,Hancock,G-2 SOUTH,206,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,G-2 SOUTH,20,,,
Write in,U.S. Senate,,,Hancock,G-2 SOUTH,1,,,
Connie Lawson,Secretary of State,,R,Hancock,G-2 SOUTH,436,,,
Jim Harper,Secretary of State,,D,Hancock,G-2 SOUTH,156,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,G-2 SOUTH,28,,,
Write in,Secretary of State,,,Hancock,G-2 SOUTH,0,,,
Tera Klutz,Auditor of State,,R,Hancock,G-2 SOUTH,419,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,G-2 SOUTH,169,,,
John Schick,Auditor of State,,L,Hancock,G-2 SOUTH,31,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,G-2 SOUTH,441,,,
John C. Aguilera,Treasurer of State,,D,Hancock,G-2 SOUTH,174,,,
Greg Pence,US House,,R,Hancock,G-2 SOUTH,410,,,
Jeannine Lee Lake,US House,,D,Hancock,G-2 SOUTH,186,,,
Tom Ferkinhoff,US House,,L,Hancock,G-2 SOUTH,21,,,
Write in,US House,,,Hancock,G-2 SOUTH,0,,,
"Robert ""Bob"" Cherry ",State Representative,53,R,Hancock,G-2 SOUTH,426,,,
Nancy Tibbett,State Representative,53,D,Hancock,G-2 SOUTH,189,,,
,Registered Voters,,,Hancock,G-3 NE,513,,,
,Ballots Cast,,,Hancock,G-3 NE,180,,,
,Straight Party,,R,Hancock,G-3 NE,50,,,
,Straight Party,,D,Hancock,G-3 NE,32,,,
,Straight Party,,L,Hancock,G-3 NE,2,,,
Mike Braun,U.S. Senate,,R,Hancock,G-3 NE,79,,,
Joe Donnelly,U.S. Senate,,D,Hancock,G-3 NE,91,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,G-3 NE,10,,,
Write in,U.S. Senate,,,Hancock,G-3 NE,0,,,
Connie Lawson,Secretary of State,,R,Hancock,G-3 NE,88,,,
Jim Harper,Secretary of State,,D,Hancock,G-3 NE,78,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,G-3 NE,14,,,
Write in,Secretary of State,,,Hancock,G-3 NE,0,,,
Tera Klutz,Auditor of State,,R,Hancock,G-3 NE,86,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,G-3 NE,80,,,
John Schick,Auditor of State,,L,Hancock,G-3 NE,13,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,G-3 NE,94,,,
John C. Aguilera,Treasurer of State,,D,Hancock,G-3 NE,83,,,
Greg Pence,US House,,R,Hancock,G-3 NE,83,,,
Jeannine Lee Lake,US House,,D,Hancock,G-3 NE,88,,,
Tom Ferkinhoff,US House,,L,Hancock,G-3 NE,8,,,
Write in,US House,,,Hancock,G-3 NE,0,,,
"Robert ""Bob"" Cherry ",State Representative,53,R,Hancock,G-3 NE,96,,,
Nancy Tibbett,State Representative,53,D,Hancock,G-3 NE,83,,,
,Registered Voters,,,Hancock,G-3 NORTH,879,,,
,Ballots Cast,,,Hancock,G-3 NORTH,372,,,
,Straight Party,,R,Hancock,G-3 NORTH,127,,,
,Straight Party,,D,Hancock,G-3 NORTH,45,,,
,Straight Party,,L,Hancock,G-3 NORTH,0,,,
Mike Braun,U.S. Senate,,R,Hancock,G-3 NORTH,233,,,
Joe Donnelly,U.S. Senate,,D,Hancock,G-3 NORTH,124,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,G-3 NORTH,12,,,
Write in,U.S. Senate,,,Hancock,G-3 NORTH,0,,,
Connie Lawson,Secretary of State,,R,Hancock,G-3 NORTH,252,,,
Jim Harper,Secretary of State,,D,Hancock,G-3 NORTH,103,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,G-3 NORTH,15,,,
Write in,Secretary of State,,,Hancock,G-3 NORTH,0,,,
Tera Klutz,Auditor of State,,R,Hancock,G-3 NORTH,248,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,G-3 NORTH,110,,,
John Schick,Auditor of State,,L,Hancock,G-3 NORTH,13,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,G-3 NORTH,263,,,
John C. Aguilera,Treasurer of State,,D,Hancock,G-3 NORTH,106,,,
Greg Pence,US House,,R,Hancock,G-3 NORTH,243,,,
Jeannine Lee Lake,US House,,D,Hancock,G-3 NORTH,115,,,
Tom Ferkinhoff,US House,,L,Hancock,G-3 NORTH,11,,,
Write in,US House,,,Hancock,G-3 NORTH,1,,,
"Robert ""Bob"" Cherry ",State Representative,53,R,Hancock,G-3 NORTH,256,,,
Nancy Tibbett,State Representative,53,D,Hancock,G-3 NORTH,114,,,
,Registered Voters,,,Hancock,G-3 CENTRAL,1052,,,
,Ballots Cast,,,Hancock,G-3 CENTRAL,489,,,
,Straight Party,,R,Hancock,G-3 CENTRAL,164,,,
,Straight Party,,D,Hancock,G-3 CENTRAL,60,,,
,Straight Party,,L,Hancock,G-3 CENTRAL,2,,,
Mike Braun,U.S. Senate,,R,Hancock,G-3 CENTRAL,262,,,
Joe Donnelly,U.S. Senate,,D,Hancock,G-3 CENTRAL,181,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,G-3 CENTRAL,37,,,
Write in,U.S. Senate,,,Hancock,G-3 CENTRAL,0,,,
Connie Lawson,Secretary of State,,R,Hancock,G-3 CENTRAL,310,,,
Jim Harper,Secretary of State,,D,Hancock,G-3 CENTRAL,149,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,G-3 CENTRAL,21,,,
Write in,Secretary of State,,,Hancock,G-3 CENTRAL,0,,,
Tera Klutz,Auditor of State,,R,Hancock,G-3 CENTRAL,307,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,G-3 CENTRAL,156,,,
John Schick,Auditor of State,,L,Hancock,G-3 CENTRAL,18,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,G-3 CENTRAL,324,,,
John C. Aguilera,Treasurer of State,,D,Hancock,G-3 CENTRAL,154,,,
Greg Pence,US House,,R,Hancock,G-3 CENTRAL,301,,,
Jeannine Lee Lake,US House,,D,Hancock,G-3 CENTRAL,167,,,
Tom Ferkinhoff,US House,,L,Hancock,G-3 CENTRAL,16,,,
Write in,US House,,,Hancock,G-3 CENTRAL,0,,,
"Robert ""Bob"" Cherry ",State Representative,53,R,Hancock,G-3 CENTRAL,314,,,
Nancy Tibbett,State Representative,53,D,Hancock,G-3 CENTRAL,168,,,
,Registered Voters,,,Hancock,G-4 EAST,1213,,,
,Ballots Cast,,,Hancock,G-4 EAST,562,,,
,Straight Party,,R,Hancock,G-4 EAST,185,,,
,Straight Party,,D,Hancock,G-4 EAST,55,,,
,Straight Party,,L,Hancock,G-4 EAST,5,,,
Mike Braun,U.S. Senate,,R,Hancock,G-4 EAST,320,,,
Joe Donnelly,U.S. Senate,,D,Hancock,G-4 EAST,191,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,G-4 EAST,45,,,
Write in,U.S. Senate,,,Hancock,G-4 EAST,0,,,
Connie Lawson,Secretary of State,,R,Hancock,G-4 EAST,373,,,
Jim Harper,Secretary of State,,D,Hancock,G-4 EAST,152,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,G-4 EAST,27,,,
Write in,Secretary of State,,,Hancock,G-4 EAST,1,,,
Tera Klutz,Auditor of State,,R,Hancock,G-4 EAST,351,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,G-4 EAST,162,,,
John Schick,Auditor of State,,L,Hancock,G-4 EAST,38,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,G-4 EAST,367,,,
John C. Aguilera,Treasurer of State,,D,Hancock,G-4 EAST,179,,,
Greg Pence,US House,,R,Hancock,G-4 EAST,342,,,
Jeannine Lee Lake,US House,,D,Hancock,G-4 EAST,189,,,
Tom Ferkinhoff,US House,,L,Hancock,G-4 EAST,25,,,
Write in,US House,,,Hancock,G-4 EAST,2,,,
"Robert ""Bob"" Cherry ",State Representative,53,R,Hancock,G-4 EAST,362,,,
Nancy Tibbett,State Representative,53,D,Hancock,G-4 EAST,184,,,
,Registered Voters,,,Hancock,G-4 WEST,821,,,
,Ballots Cast,,,Hancock,G-4 WEST,473,,,
,Straight Party,,R,Hancock,G-4 WEST,182,,,
,Straight Party,,D,Hancock,G-4 WEST,51,,,
,Straight Party,,L,Hancock,G-4 WEST,1,,,
Mike Braun,U.S. Senate,,R,Hancock,G-4 WEST,295,,,
Joe Donnelly,U.S. Senate,,D,Hancock,G-4 WEST,155,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,G-4 WEST,19,,,
Write in,U.S. Senate,,,Hancock,G-4 WEST,0,,,
Connie Lawson,Secretary of State,,R,Hancock,G-4 WEST,340,,,
Jim Harper,Secretary of State,,D,Hancock,G-4 WEST,118,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,G-4 WEST,9,,,
Write in,Secretary of State,,,Hancock,G-4 WEST,0,,,
Tera Klutz,Auditor of State,,R,Hancock,G-4 WEST,326,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,G-4 WEST,120,,,
John Schick,Auditor of State,,L,Hancock,G-4 WEST,18,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,G-4 WEST,341,,,
John C. Aguilera,Treasurer of State,,D,Hancock,G-4 WEST,121,,,
Greg Pence,US House,,R,Hancock,G-4 WEST,323,,,
Jeannine Lee Lake,US House,,D,Hancock,G-4 WEST,137,,,
Tom Ferkinhoff,US House,,L,Hancock,G-4 WEST,10,,,
Write in,US House,,,Hancock,G-4 WEST,0,,,
"Robert ""Bob"" Cherry ",State Representative,53,R,Hancock,G-4 WEST,329,,,
Nancy Tibbett,State Representative,53,D,Hancock,G-4 WEST,134,,,
,Registered Voters,,,Hancock,G-4 CENTRAL,1284,,,
,Ballots Cast,,,Hancock,G-4 CENTRAL,659,,,
,Straight Party,,R,Hancock,G-4 CENTRAL,219,,,
,Straight Party,,D,Hancock,G-4 CENTRAL,55,,,
,Straight Party,,L,Hancock,G-4 CENTRAL,3,,,
Mike Braun,U.S. Senate,,R,Hancock,G-4 CENTRAL,429,,,
Joe Donnelly,U.S. Senate,,D,Hancock,G-4 CENTRAL,184,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,G-4 CENTRAL,40,,,
Write in,U.S. Senate,,,Hancock,G-4 CENTRAL,0,,,
Connie Lawson,Secretary of State,,R,Hancock,G-4 CENTRAL,458,,,
Jim Harper,Secretary of State,,D,Hancock,G-4 CENTRAL,150,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,G-4 CENTRAL,34,,,
Write in,Secretary of State,,,Hancock,G-4 CENTRAL,0,,,
Tera Klutz,Auditor of State,,R,Hancock,G-4 CENTRAL,455,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,G-4 CENTRAL,150,,,
John Schick,Auditor of State,,L,Hancock,G-4 CENTRAL,32,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,G-4 CENTRAL,475,,,
John C. Aguilera,Treasurer of State,,D,Hancock,G-4 CENTRAL,150,,,
Greg Pence,US House,,R,Hancock,G-4 CENTRAL,451,,,
Jeannine Lee Lake,US House,,D,Hancock,G-4 CENTRAL,171,,,
Tom Ferkinhoff,US House,,L,Hancock,G-4 CENTRAL,30,,,
Write in,US House,,,Hancock,G-4 CENTRAL,0,,,
"Robert ""Bob"" Cherry ",State Representative,53,R,Hancock,G-4 CENTRAL,462,,,
Nancy Tibbett,State Representative,53,D,Hancock,G-4 CENTRAL,183,,,
,Registered Voters,,,Hancock,G-5 NORTH,1225,,,
,Ballots Cast,,,Hancock,G-5 NORTH,506,,,
,Straight Party,,R,Hancock,G-5 NORTH,191,,,
,Straight Party,,D,Hancock,G-5 NORTH,59,,,
,Straight Party,,L,Hancock,G-5 NORTH,0,,,
Mike Braun,U.S. Senate,,R,Hancock,G-5 NORTH,311,,,
Joe Donnelly,U.S. Senate,,D,Hancock,G-5 NORTH,154,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,G-5 NORTH,37,,,
Write in,U.S. Senate,,,Hancock,G-5 NORTH,1,,,
Connie Lawson,Secretary of State,,R,Hancock,G-5 NORTH,353,,,
Jim Harper,Secretary of State,,D,Hancock,G-5 NORTH,123,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,G-5 NORTH,17,,,
Write in,Secretary of State,,,Hancock,G-5 NORTH,0,,,
Tera Klutz,Auditor of State,,R,Hancock,G-5 NORTH,343,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,G-5 NORTH,129,,,
John Schick,Auditor of State,,L,Hancock,G-5 NORTH,17,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,G-5 NORTH,358,,,
John C. Aguilera,Treasurer of State,,D,Hancock,G-5 NORTH,131,,,
Greg Pence,US House,,R,Hancock,G-5 NORTH,346,,,
Jeannine Lee Lake,US House,,D,Hancock,G-5 NORTH,137,,,
Tom Ferkinhoff,US House,,L,Hancock,G-5 NORTH,19,,,
Write in,US House,,,Hancock,G-5 NORTH,1,,,
"Robert ""Bob"" Cherry ",State Representative,53,R,Hancock,G-5 NORTH,358,,,
Nancy Tibbett,State Representative,53,D,Hancock,G-5 NORTH,135,,,
,Registered Voters,,,Hancock,G-5 SOUTH,1400,,,
,Ballots Cast,,,Hancock,G-5 SOUTH,847,,,
,Straight Party,,R,Hancock,G-5 SOUTH,303,,,
,Straight Party,,D,Hancock,G-5 SOUTH,76,,,
,Straight Party,,L,Hancock,G-5 SOUTH,4,,,
Mike Braun,U.S. Senate,,R,Hancock,G-5 SOUTH,560,,,
Joe Donnelly,U.S. Senate,,D,Hancock,G-5 SOUTH,242,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,G-5 SOUTH,42,,,
Write in,U.S. Senate,,,Hancock,G-5 SOUTH,0,,,
Connie Lawson,Secretary of State,,R,Hancock,G-5 SOUTH,631,,,
Jim Harper,Secretary of State,,D,Hancock,G-5 SOUTH,181,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,G-5 SOUTH,22,,,
Write in,Secretary of State,,,Hancock,G-5 SOUTH,0,,,
Tera Klutz,Auditor of State,,R,Hancock,G-5 SOUTH,611,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,G-5 SOUTH,191,,,
John Schick,Auditor of State,,L,Hancock,G-5 SOUTH,26,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,G-5 SOUTH,645,,,
John C. Aguilera,Treasurer of State,,D,Hancock,G-5 SOUTH,181,,,
Greg Pence,US House,,R,Hancock,G-5 SOUTH,593,,,
Jeannine Lee Lake,US House,,D,Hancock,G-5 SOUTH,217,,,
Tom Ferkinhoff,US House,,L,Hancock,G-5 SOUTH,26,,,
Write in,US House,,,Hancock,G-5 SOUTH,0,,,
"Robert ""Bob"" Cherry ",State Representative,53,R,Hancock,G-5 SOUTH,633,,,
Nancy Tibbett,State Representative,53,D,Hancock,G-5 SOUTH,198,,,
,Registered Voters,,,Hancock,GREEN 1,1354,,,
,Ballots Cast,,,Hancock,GREEN 1,774,,,
,Straight Party,,R,Hancock,GREEN 1,282,,,
,Straight Party,,D,Hancock,GREEN 1,76,,,
,Straight Party,,L,Hancock,GREEN 1,0,,,
Mike Braun,U.S. Senate,,R,Hancock,GREEN 1,526,,,
Joe Donnelly,U.S. Senate,,D,Hancock,GREEN 1,208,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,GREEN 1,38,,,
Write in,U.S. Senate,,,Hancock,GREEN 1,0,,,
Connie Lawson,Secretary of State,,R,Hancock,GREEN 1,593,,,
Jim Harper,Secretary of State,,D,Hancock,GREEN 1,148,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,GREEN 1,27,,,
Write in,Secretary of State,,,Hancock,GREEN 1,0,,,
Tera Klutz,Auditor of State,,R,Hancock,GREEN 1,577,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,GREEN 1,150,,,
John Schick,Auditor of State,,L,Hancock,GREEN 1,34,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,GREEN 1,600,,,
John C. Aguilera,Treasurer of State,,D,Hancock,GREEN 1,159,,,
Greg Pence,US House,,R,Hancock,GREEN 1,571,,,
Jeannine Lee Lake,US House,,D,Hancock,GREEN 1,173,,,
Tom Ferkinhoff,US House,,L,Hancock,GREEN 1,26,,,
Write in,US House,,,Hancock,GREEN 1,0,,,
"Robert ""Bob"" Cherry ",State Representative,53,R,Hancock,GREEN 1,580,,,
Nancy Tibbett,State Representative,53,D,Hancock,GREEN 1,183,,,
,Registered Voters,,,Hancock,JACKSON 1,1341,,,
,Ballots Cast,,,Hancock,JACKSON 1,745,,,
,Straight Party,,R,Hancock,JACKSON 1,226,,,
,Straight Party,,D,Hancock,JACKSON 1,57,,,
,Straight Party,,L,Hancock,JACKSON 1,1,,,
Mike Braun,U.S. Senate,,R,Hancock,JACKSON 1,522,,,
Joe Donnelly,U.S. Senate,,D,Hancock,JACKSON 1,178,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,JACKSON 1,37,,,
Write in,U.S. Senate,,,Hancock,JACKSON 1,0,,,
Connie Lawson,Secretary of State,,R,Hancock,JACKSON 1,567,,,
Jim Harper,Secretary of State,,D,Hancock,JACKSON 1,137,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,JACKSON 1,22,,,
Write in,Secretary of State,,,Hancock,JACKSON 1,0,,,
Tera Klutz,Auditor of State,,R,Hancock,JACKSON 1,547,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,JACKSON 1,140,,,
John Schick,Auditor of State,,L,Hancock,JACKSON 1,33,,,
Kelly Mitchell,Treasurer of State,,R,Hancock,JACKSON 1,579,,,
John C. Aguilera,Treasurer of State,,D,Hancock,JACKSON 1,139,,,
Greg Pence,US House,,R,Hancock,JACKSON 1,539,,,
Jeannine Lee Lake,US House,,D,Hancock,JACKSON 1,168,,,
Tom Ferkinhoff,US House,,L,Hancock,JACKSON 1,27,,,
Write in,US House,,,Hancock,JACKSON 1,0,,,
"Robert ""Bob"" Cherry ",State Representative,53,R,Hancock,JACKSON 1,576,,,
Nancy Tibbett,State Representative,53,D,Hancock,JACKSON 1,148,,,
,Registered Voters,,,Hancock,M-1,1783,,,
,Ballots Cast,,,Hancock,M-1,1099,,,
,Straight Party,,R,Hancock,M-1,435,,,
,Straight Party,,D,Hancock,M-1,229,,,
,Straight Party,,L,Hancock,M-1,2,,,
Mike Braun,U.S. Senate,,R,Hancock,M-1,621,,,
Joe Donnelly,U.S. Senate,,D,Hancock,M-1,438,,,
Lucy M Brenton,U.S. Senate,,L,Hancock,M-1,38,,,
Write in,U.S. Senate,,,Hancock,M-1,1,,,
Connie Lawson,Secretary of State,,R,Hancock,M-1,684,,,
Jim Harper,Secretary of State,,D,Hancock,M-1,372,,,
Mark W. Rutherford,Secretary of State,,L,Hancock,M-1,34,,,
Write in,Secretary of State,,,Hancock,M-1,1,,,
Tera Klutz,Auditor of State,,R,Hancock,M-1,664,,,
Joselyn Whitticker,Auditor of State,,D,Hancock,M-1,374,,,
